LFQ.intensity.imputed_B.memory_04_steady-state	LFQ.intensity.imputed_B.naive_04_steady-state	LFQ.intensity.imputed_B.plasma_04_steady-state	LFQ.intensity.imputed_mTregs_04_steady-state	LFQ.intensity.imputed_T4.naive_04_steady-state	LFQ.intensity.imputed_nTregs_04_steady-state	LFQ.intensity.imputed_T4.CM_04_steady-state	LFQ.intensity.imputed_T4.EM_04_steady-state	LFQ.intensity.imputed_T4.EMRA_04_steady-state	LFQ.intensity.imputed_Th1_04_steady-state	LFQ.intensity.imputed_Th17_04_steady-state	LFQ.intensity.imputed_Th2_04_steady-state	LFQ.intensity.imputed_T8.naive_04_steady-state	LFQ.intensity.imputed_T8.CM_04_steady-state	LFQ.intensity.imputed_T8.EM_04_steady-state	LFQ.intensity.imputed_T8.EMRA_04_steady-state	LFQ.intensity.imputed_mDC_04_steady-state	LFQ.intensity.imputed_pDC_04_steady-state	LFQ.intensity.imputed_Basophil_04_steady-state	LFQ.intensity.imputed_Eosinophil_04_steady-state	LFQ.intensity.imputed_Neutrophil_04_steady-state	LFQ.intensity.imputed_MO.classical_04_steady-state	LFQ.intensity.imputed_MO.intermediate_04_steady-state	LFQ.intensity.imputed_MO.nonclassical_04_steady-state	LFQ.intensity.imputed_NK.bright_04_steady-state	LFQ.intensity.imputed_NK.dim_04_steady-state
healthy_sample_0	0.0103285704142275	0.027071005846158	0.0842190619341719	0.0594246876757002	0.0439402937344616	0.0299653604373402	0.0227193337912101	0.0331325206543935	0.0739335939948432	0.0168748917681038	0.0128515075169241	0.030825869963657	0.0350610953737152	0.0151241578320886	0.0204947141540133	0.0120127510932393	0.0288878189245124	0.036230168101071	0.0283834281695777	0.117728809301727	0.0674045273355993	0.0332984979455622	0.05097477251002	0.0458197289442076	0.031162186998339	0.0321306455851366
healthy_sample_1	0.0375525827259527	0.0176416429507383	0.0974923454540293	0.0184698654752837	0.0131653975241558	0.0820808518348523	0.0373292152047332	0.0288967603410162	0.0419090891567917	0.0258340084332181	0.0310374259701423	0.0405708299797838	0.00445451643501642	0.0161060138099303	0.0217693114377886	0.0269288743636716	0.0170479975750259	0.0356976289401136	0.0628640923122014	0.101896271662781	0.0750687113425029	0.0405796212041509	0.0381071569839489	0.0288610385818394	0.0160092580027427	0.0426294922975891
healthy_sample_2	0.0135690178051857	0.0298831614259283	0.137478959870173	0.0113243626724	0.00922087533804351	0.035108247636516	0.0427044249741178	0.0578814938317341	0.020944192955424	0.0213084896023832	0.0402233788880397	0.0294208787837615	0.0392390418048141	0.0286420071251974	0.0131687343696733	0.0160249174850287	0.0631512234679564	0.0284981360879265	0.0424412163784924	0.0756708846278155	0.071357340121192	0.0411150039124652	0.0429095567446111	0.0310949114161313	0.0440722665155274	0.0135472761594625
healthy_sample_3	0.0278626433397002	0.0299998811143561	0.0721517743950247	0.0202107926028579	0.008014968773474	0.0111246842310667	0.0298763851727388	0.0687662031365716	0.0234172479581177	0.0437359064525346	0.0141489263657416	0.0374239060974602	0.0470033043855007	0.0232528183220685	0.0172618102901104	0.0243705748466856	0.0242630605223637	0.0387169439771285	0.0668276871824208	0.0553265605258036	0.124817266443211	0.0393162382101497	0.0266439130714117	0.0288103971005467	0.0479920174449584	0.0486640880379965
healthy_sample_4	0.0384558830222159	0.0477972269254071	0.0497520742124395	0.0480532791426011	0.0850476025479948	0.038720935132687	0.0169315694884715	0.0200493118298649	0.0142617403796114	0.0101044921183859	0.0624095925176386	0.0529585930846563	0.00829071076223393	0.00873437243667631	0.0113798889178668	0.0168343479727356	0.0223079370075805	0.00921293496865328	0.0342963811494108	0.0752209576022476	0.103874711639788	0.0471969633804414	0.0475765452571087	0.0245790553171383	0.0612037563818704	0.0447491368042741
unhealthy_sample_0	0.042525289231264	0.0639277159684521	0.0817799035239323	0.025808251265187	0.040657619075815	0.0487187177528526	0.0275903337957299	0.061159888789137	0.010752716888672	0.0177012739449794	0.0332524121731728	0.0344193363132486	0.0104782598098658	0.0228766189717956	0.0403625760606043	0.0203209983051881	0.0139210038374275	0.0140648376810147	0.0302941313303531	0.0682405399960575	0.0739286395636353	0.0372302250654072	0.0710404780956043	0.036281283171394	0.0350940400141703	0.0375729093750395
unhealthy_sample_1	0.0460446163300315	0.0263232100743011	0.112772845121515	0.00252675639161023	0.0147088918361459	0.0314598638203189	0.00299379559760061	0.0294934666052526	0.031115247231652	0.0349840483337344	0.0134961789314157	0.0732385715174051	0.0126456214875106	0.00887188455822292	0.035892130869412	0.0663761214233673	0.052000214107138	0.0225287357247773	0.0571281584334006	0.0580013223435805	0.110633986467984	0.0359323209391029	0.0710370874206508	0.0284638065806279	0.00785919474705833	0.0134719231061839
unhealthy_sample_2	0.0235967332449302	0.0302059122882561	0.05950676333214	0.0714526291453952	0.0196851412584157	0.0554155060299108	0.00128340165805147	0.0296039961107657	0.0317010026541872	0.0159873330642464	0.0101632209826589	0.0404236134591158	0.0396172407006126	0.0302153120652645	0.0126170633831246	0.0327905566407167	0.0415585258176742	0.0314131356577233	0.0638371195570017	0.011328644963843	0.13642458595257	0.0454265380136572	0.094059133876674	0.010478574808984	0.00649940722863475	0.0547089081054466
unhealthy_sample_3	0.0368824221808065	0.0324477842914193	0.125209262680111	0.0295610629838673	0.0150824878072251	0.0801804053780099	0.0375180064860806	0.0205701528287796	0.00437088971996859	0.0161676183425114	0.0175768282931571	0.00713632124555606	0.0304743597664982	0.0554749595000638	0.0374712047218319	0.0121168617719152	0.0151311374700212	0.0216665306831182	0.060402253904604	0.0802921121326572	0.120449165873173	0.0180418136876903	0.0502007779749455	0.00782548052719855	0.0291140367557723	0.038636062993018
unhealthy_sample_4	0.0315231921750555	0.0301842816468316	0.0928100830459867	0.0375833121085377	0.0186193727289089	0.0208009561065827	0.0397873314947735	0.0181228112518348	0.0824171029926654	0.0151854867045913	0.0144481849591575	0.0255033237754896	0.0294193431203654	0.0147870776229291	0.0212304223530176	0.0220230594506603	0.0496049014298318	0.0303286026237088	0.0474237098476172	0.105231111544635	0.111761643341112	0.0265554080835871	0.037086074694451	0.0355266543941623	0.0185493824470587	0.0234871700564489
