LFQ.intensity.imputed_B.memory_04_steady-state	LFQ.intensity.imputed_B.naive_04_steady-state	LFQ.intensity.imputed_B.plasma_04_steady-state	LFQ.intensity.imputed_mTregs_04_steady-state	LFQ.intensity.imputed_T4.naive_04_steady-state	LFQ.intensity.imputed_nTregs_04_steady-state	LFQ.intensity.imputed_T4.CM_04_steady-state	LFQ.intensity.imputed_T4.EM_04_steady-state	LFQ.intensity.imputed_T4.EMRA_04_steady-state	LFQ.intensity.imputed_Th1_04_steady-state	LFQ.intensity.imputed_Th17_04_steady-state	LFQ.intensity.imputed_Th2_04_steady-state	LFQ.intensity.imputed_T8.naive_04_steady-state	LFQ.intensity.imputed_T8.CM_04_steady-state	LFQ.intensity.imputed_T8.EM_04_steady-state	LFQ.intensity.imputed_T8.EMRA_04_steady-state	LFQ.intensity.imputed_mDC_04_steady-state	LFQ.intensity.imputed_pDC_04_steady-state	LFQ.intensity.imputed_Basophil_04_steady-state	LFQ.intensity.imputed_Eosinophil_04_steady-state	LFQ.intensity.imputed_Neutrophil_04_steady-state	LFQ.intensity.imputed_MO.classical_04_steady-state	LFQ.intensity.imputed_MO.intermediate_04_steady-state	LFQ.intensity.imputed_MO.nonclassical_04_steady-state	LFQ.intensity.imputed_NK.bright_04_steady-state	LFQ.intensity.imputed_NK.dim_04_steady-state
healthy_sample_0	0.0268425286791275	0.0340483662520101	0.0565142098927542	0.0303424840972505	0.0303311912887514	0.0257375770452842	0.0382584079531334	0.0329027917858578	0.0333120815802848	0.0394344651825285	0.0345102967224573	0.0284883829299181	0.0246348163164726	0.0351661524312241	0.032176709602295	0.0352241525384359	0.0414896242125422	0.0368453989597909	0.0456577726873284	0.05700807180762	0.079491559340842	0.0441638005200763	0.050709200902739	0.0373905327520759	0.0344370425967479	0.0348823819224522
healthy_sample_1	0.0268612857098835	0.0294083077708835	0.0588073911056039	0.0303065548361546	0.0364971801574331	0.029203860962214	0.0331250978762515	0.0289244145655039	0.0378580630693587	0.0369550867900961	0.031722270468436	0.0334824350573667	0.0307064085235421	0.0278102497100272	0.032761697150343	0.0361165908404411	0.0430100334190459	0.036629781743682	0.0439452345237138	0.056370419776004	0.0865947489090483	0.0465608912024421	0.0442769667169008	0.0381701408205086	0.0328697875494326	0.0310251007456828
healthy_sample_2	0.0288868295040956	0.0360869344386833	0.0544240366748093	0.0305024542824222	0.0315390407201759	0.0282852191081277	0.0346652098695172	0.0303829561950482	0.0344559546364106	0.0318650947007922	0.0324453081852633	0.0353401648035956	0.0301213003225708	0.0330369916929124	0.0299036445646366	0.0334084802200246	0.0421638255151294	0.039143200566554	0.0520907116325805	0.0519956284032251	0.0781927111408609	0.0473560026217901	0.0472821468358572	0.0405999498605032	0.0350238541665251	0.0308023493378893
healthy_sample_3	0.0337938938824909	0.0330652880300573	0.052822260351122	0.0266900514686581	0.0284386004120607	0.0357662157538983	0.0357643313012488	0.0330518698899891	0.0390266642202907	0.0313221836050616	0.0389360185434533	0.0320851631731408	0.0284697814746701	0.0317125420892684	0.0310552099527848	0.0341508036155667	0.0370133277149326	0.0340819844325474	0.0482480041111536	0.0483203583601505	0.0794050406215952	0.0473039111496957	0.0444915665510243	0.0448502155078144	0.036166299589108	0.0339684141982166
healthy_sample_4	0.0271802528325739	0.0262668553237818	0.0566916010372541	0.0290455018471593	0.0320576650742542	0.0337148234282662	0.0374644522495913	0.0297903150037551	0.0378196807097601	0.0332870002019693	0.0315627906150602	0.0336797609176194	0.0322963903693738	0.0308971158968279	0.0307071764051097	0.0344881404397928	0.0412779679629039	0.0375692107430058	0.0454950177575628	0.0553258043058183	0.0861719823478747	0.047033996067423	0.0485800883262229	0.0377135687036543	0.0300574656790887	0.0338253757542968
unhealthy_sample_0	0.0503176171183447	0.0449493269926586	0.0654375455733329	0.0324014129856208	0.0278741755735502	0.0337989566199588	0.0244440411073119	0.0255386309014957	0.0328400562506776	0.0329864598325444	0.0286433806102963	0.0334760352141501	0.0287764068091171	0.0248911447245976	0.0347428464789476	0.0293466963024868	0.0456299321237397	0.0369235914477157	0.0447119327328838	0.0518083385739703	0.0755500096713616	0.0485316133491439	0.0399040846076882	0.0406681953528799	0.0317042963606719	0.0341032726848538
unhealthy_sample_1	0.0424135279828442	0.0589422525913815	0.0590916032275162	0.0314196764453022	0.03275456740804	0.0271329815571912	0.0273927560870095	0.0278154701381595	0.0336647397017858	0.0360056317892659	0.0339325262560599	0.0293755237978098	0.0361532708392415	0.0289876458708086	0.029526413422871	0.0287417511394083	0.0380170315126271	0.0375018161871179	0.0450898863540055	0.0475869392323368	0.0726519719812648	0.0499409741728388	0.0437827275613907	0.0352782530574689	0.0318475198052324	0.0349525418810222
unhealthy_sample_2	0.0461673034135004	0.0513529439951699	0.065447118792114	0.0279075077794699	0.0278748409714405	0.0367474558548821	0.0278940843558008	0.02922409983754	0.0358263167946031	0.0285236079151703	0.0295108189117982	0.0296550975112626	0.0286464506252225	0.0303401022746686	0.0257800079284868	0.0310956017386056	0.0411130919086591	0.0423146433250732	0.0457123309827914	0.0495118954738595	0.0768403584228532	0.0472030496867135	0.0380620755559367	0.0403396725269496	0.0317574111506854	0.0351521122667431
unhealthy_sample_3	0.0432359777576826	0.0452114629590057	0.065802659807531	0.0287898295563353	0.0266065216814703	0.027489212836691	0.037085535285566	0.0309364711986631	0.0344921971704297	0.0306099236926396	0.0289916969998409	0.0334047588736306	0.0244657062342699	0.029424712940775	0.030740638801329	0.0342878342707301	0.0413144855799041	0.0423733117643379	0.0496353740942204	0.042607387942855	0.0815676759110028	0.0465267456112356	0.0416836384487525	0.0386428385290983	0.0315384860053117	0.0325349160466917
unhealthy_sample_4	0.0361959867122701	0.0525824671076946	0.0626511447817014	0.0253439528975797	0.0334614498658177	0.0328764799369279	0.0287453778327967	0.0271365689086207	0.0318358045201644	0.0366006511225991	0.0342056854455054	0.0320576860964594	0.0252860456446439	0.0323051409140083	0.0320896150614479	0.0256328255805266	0.0412714746344926	0.0448765261927977	0.0551633686657912	0.050746622855972	0.0672512208560505	0.0538031557863156	0.0368796178067723	0.0370382582808299	0.0307172718839089	0.0332456006083055
