Mixture	LFQ.intensity.imputed_B.memory_04_steady-state	LFQ.intensity.imputed_B.naive_04_steady-state	LFQ.intensity.imputed_B.plasma_04_steady-state	LFQ.intensity.imputed_mTregs_04_steady-state	LFQ.intensity.imputed_T4.naive_04_steady-state	LFQ.intensity.imputed_nTregs_04_steady-state	LFQ.intensity.imputed_T4.CM_04_steady-state	LFQ.intensity.imputed_T4.EM_04_steady-state	LFQ.intensity.imputed_T4.EMRA_04_steady-state	LFQ.intensity.imputed_Th1_04_steady-state	LFQ.intensity.imputed_Th17_04_steady-state	LFQ.intensity.imputed_Th2_04_steady-state	LFQ.intensity.imputed_T8.naive_04_steady-state	LFQ.intensity.imputed_T8.CM_04_steady-state	LFQ.intensity.imputed_T8.EM_04_steady-state	LFQ.intensity.imputed_T8.EMRA_04_steady-state	LFQ.intensity.imputed_mDC_04_steady-state	LFQ.intensity.imputed_pDC_04_steady-state	LFQ.intensity.imputed_Basophil_04_steady-state	LFQ.intensity.imputed_Eosinophil_04_steady-state	LFQ.intensity.imputed_Neutrophil_04_steady-state	LFQ.intensity.imputed_MO.classical_04_steady-state	LFQ.intensity.imputed_MO.intermediate_04_steady-state	LFQ.intensity.imputed_MO.nonclassical_04_steady-state	LFQ.intensity.imputed_NK.bright_04_steady-state	LFQ.intensity.imputed_NK.dim_04_steady-state	P-value	Correlation	RMSE
healthy_sample_0	0.0622047024609158	0.0436057722134635	0	0.0206663784457574	0.0696778913105974	0.0180994662654695	0.0836854101827744	0.0718560827251566	0	0.05042725152093	0.0522207172689245	0.0537083196397317	0.0822520499775189	0.0296478309770335	0.0667527684530434	0.0438178295736398	0.0110419787208082	0.0102530735704187	0.014577947760653	0.0122787276213271	0.0694460443592136	0.0542747877354556	0.0103755569300012	0.0162053126238893	0.029729494346119	0.0231946053171579	0	0.998209563256934	0.0884585308541713
healthy_sample_1	0.063644054753651	0.0260301386740676	0	0.0196224048059643	0.0667363779075718	0.018069690297266	0.0566233180542952	0.0676229470475625	0	0.0650365615511344	0.0395143644727529	0.0626351339169166	0.084222732005485	0.0480654212655309	0.0616576405558777	0.0406981001060134	0.0058856035158555	0.0150720510235238	0.0155888113011842	0.0165661425661888	0.0745256511128743	0.0683022829067959	0.00981972649424717	0.0176275269554036	0.0299089684412471	0.0265243502685905	0	0.998342758621537	0.0899953083143837
healthy_sample_2	0.0579052569504626	0.0305765545659842	0	0.0198218640767389	0.0749832248310588	0.0193263208837119	0.10610192199251	0.0642499570257367	0	0.0650762793666069	0.0437763534454319	0.0422384191671318	0.0814745301316985	0.041846879593099	0.0614087333598753	0.0485397367646991	0.00436534360965364	0.0116247677703533	0.0120949406494082	0.0113176295662216	0.0674944963019017	0.058055016930213	0.00532874368483607	0.0172526882455009	0.0306720182194772	0.0244683228676883	0	0.998716495254565	0.081083899408888
healthy_sample_3	0.0501249513724207	0.0532663804216909	0	0.0247272222576181	0.0465495880772038	0.02036239309384	0.112355394606402	0.0398268137756099	0.00518108865829733	0.0529913103016988	0.0529270058153514	0.0597078564757591	0.0758141057752368	0.0521960037227045	0.0650815105865069	0.0281129777245925	0.00858744687188031	0.0118813902652237	0.0168674157583717	0.00967502251720082	0.0712865923653096	0.0624680298050997	0.0137235168451528	0.0123108775768181	0.0273042323576991	0.0266708729723111	0	0.999108096381888	0.080042848089751
healthy_sample_4	0.064559236393696	0.0269452450140142	0	0.0250423896464717	0.0647198385601214	0.0119551760050855	0.0653973999515766	0.062100408381791	0	0.0443849730167288	0.0631626754590577	0.0534191373036818	0.0945832244154303	0.0514487598335698	0.0498725567577661	0.0399884475074176	0.00569852851486128	0.0154920003609308	0.0157865785809573	0.0137683264229833	0.0779342238954829	0.0658193459800693	0.0159327296596483	0.0152052517544305	0.024963144834521	0.031820401749707	0	0.998691113260483	0.086287321650718
unhealthy_sample_0	0.431719954694905	0.362442906082376	0.00543722636543868	0.00357038295232438	0.0168690758683621	0.00449502225893139	0.0126514699570711	0.00211063117100557	0.00291233174887471	0.0184879605855332	0.0104992054431991	0.0036002433378195	0.0237222490842855	0.00979698069086911	0.0154133773547557	0.00486653116401405	0.00204789459053442	0.00739659929912373	0.0092470319869824	0.00262662102396973	0.0177090255590999	0.0114717343588394	0	0.0046079623288131	0.012160823071218	0.00413675902165373	0	0.99807628950412	0.074134009449205
unhealthy_sample_1	0.444555658618569	0.300462892502341	0.0119148745897848	0.013181380723109	0.0359615498086244	0.0109973216752091	0.00675972980194516	0.000974757529402926	0	0.0165484044455259	0.011627570456307	0	0.0148166594236841	0.0133102848030481	0.0166492860084713	0	0.000952947362838332	0.00877377410475927	0.00713769497463481	0.00506462647331541	0.0131865051559722	0.0145357593741249	0	0.0209828048634659	0.02019600524835	0.0114095120565178	0	0.992161339154733	0.130848044724538
unhealthy_sample_2	0.4588508153127	0.243513101638572	0.010460302344193	0.0151496472612328	0.0414391433086169	0.0134806884085192	0.0275719303471292	0.000575546894813244	0	0.0171537689968145	0	0	0.0293384055993456	0.0190439125909982	0.0142037972432948	0.00534978693494864	0	0.0108771439710556	0.00730344901755852	0.00166068969556232	0.0166185788164373	0.0190679309500431	0	0.0200105144933905	0.0223434266791063	0.00598741949566812	0	0.989381232002671	0.150104309173042
unhealthy_sample_3	0.390355324211132	0.431394734712943	0.00949352416490028	0.00488599013244826	0.0107437839220891	0.00647315279076466	0.014918994740166	0.00305580336062315	0	0.0141430683046992	0.00885645345384749	0	0.0136661872775222	0.013904740016219	0.0152409301647283	0.00870846999767705	0	0.00786728927972876	0.00333996189124322	0.00231456778993019	0.0107176672075975	0.00981509839938044	0	0.0079371796664269	0.00889329208894706	0.0032737864269863	0	0.99793747964398	0.0744367680841914
unhealthy_sample_4	0.505276767123418	0.289612108162084	0.00953371925294475	0.00888614435553025	0.0345947958042521	0.00527324877672746	0.00566897390883617	0.0024697598813638	6.81965288345261e-05	0.00984731379957779	0.00831108566985662	0	0.00968522772167589	0.0119853151962846	0.00330631449498616	0	0	0.0123855179806189	0.00596510785588358	0.00526693138875428	0.016573534223996	0.0118928120278849	0	0.0201143234620102	0.0187951838647476	0.00448761851973224	0	0.994005257447297	0.115846078054228
