	LFQ.intensity.imputed_B.memory_04_steady-state	LFQ.intensity.imputed_B.naive_04_steady-state	LFQ.intensity.imputed_B.plasma_04_steady-state	LFQ.intensity.imputed_mTregs_04_steady-state	LFQ.intensity.imputed_T4.naive_04_steady-state	LFQ.intensity.imputed_nTregs_04_steady-state	LFQ.intensity.imputed_T4.CM_04_steady-state	LFQ.intensity.imputed_T4.EM_04_steady-state	LFQ.intensity.imputed_T4.EMRA_04_steady-state	LFQ.intensity.imputed_Th1_04_steady-state	LFQ.intensity.imputed_Th17_04_steady-state	LFQ.intensity.imputed_Th2_04_steady-state	LFQ.intensity.imputed_T8.naive_04_steady-state	LFQ.intensity.imputed_T8.CM_04_steady-state	LFQ.intensity.imputed_T8.EM_04_steady-state	LFQ.intensity.imputed_T8.EMRA_04_steady-state	LFQ.intensity.imputed_mDC_04_steady-state	LFQ.intensity.imputed_pDC_04_steady-state	LFQ.intensity.imputed_Basophil_04_steady-state	LFQ.intensity.imputed_Eosinophil_04_steady-state	LFQ.intensity.imputed_Neutrophil_04_steady-state	LFQ.intensity.imputed_MO.classical_04_steady-state	LFQ.intensity.imputed_MO.intermediate_04_steady-state	LFQ.intensity.imputed_MO.nonclassical_04_steady-state	LFQ.intensity.imputed_NK.bright_04_steady-state	LFQ.intensity.imputed_NK.dim_04_steady-state
ENSG00000124570.21	22.42606239	22.4483339	21.5104928	22.2449184	22.13241056	20.82618172	19.84993637	22.7272383	22.40541799	22.97113436	22.8651024	20.95993841	21.45406693	22.65782531	22.21072431	21.25284449	22.37503617	20.91215048	19.91073826	21.9091848	22.39156398	21.84660937	21.14716153	23.29693763	22.70370746	21.13116718
ENSG00000105388.17	26.56025469	23.35418812	22.06413951	25.90134072	20.74336284	22.72433892	22.33825508	22.91972292	22.90694385	26.80673428	23.14969744	22.65818925	21.5747992	24.2584654	24.22824622	21.28960503	24.78306777	21.22015441	20.35855031	23.6781705	22.93950872	20.4258654	24.06948189	23.55835812	24.46656393	25.67352087
ENSG00000118257.17	20.87073683	21.21385856	22.51684823	20.22935449	22.12898701	23.75317675	20.68096797	19.77168371	23.86816575	22.52013084	21.14722565	23.37626333	22.09227277	22.10512864	20.98499059	22.32906598	21.93651979	24.24459669	24.19964456	23.73840815	21.29943265	22.40057518	22.11212583	23.84527181	20.52797744	22.24700756
ENSG00000115677.18	30.58378615	30.40871968	33.50261012	30.87261618	30.73666752	30.95213189	30.8264621	30.81825588	30.60514266	30.57866718	30.9828455	31.0019579	30.47479377	30.51116736	30.90232159	30.85407864	32.11265869	32.30127496	30.73254934	30.4498283	28.91430552	32.22466656	31.88841659	31.96437196	31.25033731	31.39284336
ENSG00000189077.11	27.49556559	27.71128792	27.34916796	26.32036083	24.61453507	26.20659425	24.97048756	23.92361185	27.12770345	27.03810534	23.76991531	25.42572813	28.54495288	25.19985324	23.49996556	27.18110872	23.51631577	24.53830689	28.78821196	28.38566219	22.31847031	24.81777727	25.25886072	26.28941964	25.91337557	25.23633513
ENSG00000102805.16	28.92073597	29.19051142	21.19215347	28.0631169	26.71515618	28.74967137	28.22683241	27.94229247	26.64251272	21.87977681	28.21771044	28.1325162	29.29587835	28.63225103	27.19262919	26.136394	27.25790817	28.66248019	27.9276183	28.08557652	25.93152348	28.32023169	29.09012777	29.64361402	21.91895748	27.21131842
ENSG00000130165.11	28.12868695	28.60392319	26.71724989	28.63543755	28.63529915	28.39627767	28.3600125	28.01259922	28.73657075	28.55815372	28.67114668	28.62811887	28.92374217	28.87422968	27.84929867	27.59320417	26.92082113	27.50514002	21.28343353	22.0867036	21.87136348	21.71883447	22.58214059	26.2963861	28.24794062	29.30351942
A0A024RAC6	28.74053274	28.37418037	27.40851724	28.2831704	27.94820974	28.71708643	27.95543379	28.84170158	27.32130745	28.60190615	28.46711613	28.76556549	28.56565355	29.17047482	28.1917354	27.59391651	28.81105992	29.01273241	29.38942138	29.40080336	27.85007407	27.04510239	27.04531074	28.50824186	28.13246717	27.82012919
ENSG00000213809.9	21.48681528	23.34170302	20.70078143	21.71071813	25.80003311	21.77214428	24.86424397	21.21811047	22.11530735	22.02977311	23.12500181	22.35853316	26.00161436	26.86112289	25.84904806	25.72562047	22.51054406	21.91659365	20.54089926	20.71845728	21.63181667	22.10841565	22.7696617	22.9111135	25.46048364	26.74522152
ENSG00000197062.12	25.14522691	21.82730186	25.10960592	26.28199509	26.10409609	25.90499617	26.37393155	21.10069156	26.01930719	25.88079999	25.52058295	26.56114376	26.09406061	25.03519209	26.63131452	22.85891514	25.58998002	27.27506522	25.84527181	22.01167085	26.61470355	21.28014292	21.62755314	21.40073059	27.5831226	26.44327379
ENSG00000101974.15	27.53578819	27.80661137	22.85526989	28.41324693	27.27213084	27.33985585	26.95980618	26.21615673	28.28140266	26.91330708	26.26029734	27.14326222	27.1710239	27.31984422	26.68872519	27.13476973	27.59320417	28.01966775	27.11674134	23.80311255	27.67276587	27.9530483	27.7416903	27.59477085	27.56964241	27.34958981
ENSG00000198947.18	27.75264096	28.66610885	22.66449977	21.47476368	26.85839825	29.3246372	27.66146117	21.0979842	26.65839979	27.52267946	26.19244107	20.46840452	27.12593146	26.14695596	29.75527017	25.24673625	25.50990352	26.97607198	24.57605941	26.25037346	29.28942843	27.29281056	27.89787213	27.81580015	27.01456914	26.87490389
ENSG00000211638.2	27.9599167	27.98582014	29.16283776	25.8464679	25.25465036	26.57470323	23.70242213	22.3997026	27.16643389	20.64696517	22.6318496	25.72187145	28.78066086	28.05496577	28.68792474	27.55457211	26.01064795	23.48824322	21.17136408	26.87783155	21.71283188	24.69731546	25.81960552	26.48538983	21.37934939	21.7840431
ENSG00000211640.4	21.73070562	22.66363492	23.55520136	23.82903967	21.86433152	19.93743321	22.66175969	20.57384097	25.29130056	20.84783835	21.79170389	21.86887415	21.59096115	22.95663281	22.48320608	23.21327733	20.34863257	22.65529537	21.97851709	22.85141818	21.36086369	23.56818511	21.25409951	21.49823482	21.07309899	20.7688359
ENSG00000211644.3	25.49497079	27.56717787	28.03983164	27.28533293	20.48528199	27.58663412	23.75001015	25.77555241	27.24054461	26.11858406	27.09607329	21.24466892	26.10667395	21.53608148	25.40024963	27.30799788	23.65872664	25.97875793	27.03296652	27.43141446	23.34040599	23.01113622	28.00453184	28.11733603	19.89007013	21.45560179
ENSG00000211648.2	26.02884225	27.82571939	29.0126525	21.57198603	20.7487837	25.58328045	20.72709766	20.96331139	28.09416131	21.05311523	20.91223642	22.41440984	22.43501108	21.85159192	25.55610817	27.41876548	26.40121039	24.09095556	26.4798973	22.3009052	21.04225724	21.04048331	25.30966397	24.10201302	22.00562802	25.32326756
ENSG00000211649.3	21.05030341	25.23172891	28.39194255	21.05254405	22.23813385	27.89521608	22.72653685	21.40908521	27.83593224	20.19034172	22.03585271	20.51925096	23.0239404	21.77956212	20.31501868	28.17312278	23.03239543	22.01326031	26.00515319	22.10009655	21.70997421	26.17565645	27.14209381	26.99031798	24.9819832	23.37571946
ENSG00000274575.2	26.53201675	26.88203698	26.31698235	21.93235432	21.08967454	25.54642562	21.96900931	22.30700325	26.46321515	24.30096525	22.32295872	23.44565106	22.85597513	21.15640861	20.97446449	25.34024647	25.4188298	22.7785321	22.18065234	20.49363731	21.71890602	21.0995171	25.63223022	22.75344483	22.26538191	19.96133907
ENSG00000211658.2	21.60357295	22.76648262	21.8930997	19.55620983	21.83557442	21.567547	19.82652913	21.41244946	23.72308206	22.70961055	22.64042111	21.91712234	22.01515254	22.16184608	22.16835661	22.50499583	22.40995576	21.66573234	22.25574511	22.15845246	20.69261445	21.80910078	22.86909363	20.70582265	22.86717205	21.21731909
ENSG00000211659.2	25.46497618	28.79918709	30.21997328	22.52487453	25.15665065	24.50863479	24.11243251	22.68533292	26.61034474	27.89971694	24.78436646	24.67648311	24.32937153	27.22214042	26.40550156	28.79001588	26.5506734	24.20970204	28.16734349	28.46641613	21.91836841	25.02664906	27.94637017	22.02726051	20.64035308	21.73264443
ENSG00000211660.3	24.1989907	21.58492533	22.33866482	21.61007567	22.31117845	21.08137064	21.26231345	20.61632114	21.76985349	22.80396434	20.44180757	20.65582022	23.13254867	22.41242634	22.2943917	23.59752937	25.06919504	21.24997668	22.03783372	22.22994658	19.99007948	22.24440762	24.90085723	22.68794439	22.63503379	24.96221364
ENSG00000211662.2	25.52082271	26.78730916	28.47463907	25.70740927	22.12132989	26.579027	20.90546346	20.73940311	26.92976407	24.900673	24.2843977	21.18170714	25.46513192	22.81903557	23.30313557	27.50824186	26.78069214	24.68843174	27.3900162	25.18944666	21.81913816	21.96757949	24.92682694	22.68935127	21.94459079	24.50020876
ENSG00000211663.2	25.81386924	27.44734724	26.22309846	26.72390338	22.20685485	26.53057386	21.70866822	22.29500418	28.04072015	25.85948872	22.33265287	21.04913593	24.96798398	26.03649225	23.06054105	26.65102584	19.39270862	22.85557341	27.63478004	25.25194493	21.2995069	23.60331484	25.39901109	25.96013772	23.78734827	22.04916388
ENSG00000211664.3	20.40087805	23.12845624	26.02871581	22.80766333	22.71412344	18.9760887	22.08256916	22.33648432	23.58738785	23.31207047	21.52728943	21.13137059	21.15291891	22.79621392	21.21280544	23.36024698	20.34815145	20.78795023	21.84724284	22.50653513	22.62356882	22.95193047	20.59608677	21.74176187	22.01499063	22.3113129
ENSG00000211666.2	24.92736963	22.21422697	26.66654909	21.96784004	21.58798331	20.89601005	20.89686164	23.40726653	21.23791816	22.22334099	22.6679243	20.50687715	20.88336326	21.42518104	24.05958935	22.16966266	26.22090509	22.90845247	20.70002478	21.59479378	21.57398425	22.1129444	23.25594414	22.5178507	21.04779544	21.96910022
ENSG00000211669.3	27.06537866	28.26780732	23.07277526	22.4136467	24.75159432	26.92569568	26.0811328	25.85735442	28.27382106	24.9680719	22.58329641	22.10418409	26.90827588	26.14382661	23.87107726	25.95024725	25.35561725	25.25785423	28.09903689	26.74791227	23.18190678	22.98305885	22.63825582	25.78533971	23.10691751	23.97395026
ENSG00000211670.2	26.28617941	27.99900293	29.53449008	26.28307323	26.56990311	24.06939994	22.25599259	19.91159157	29.63467619	27.18574686	25.35248882	25.85021717	21.88382309	25.96587234	26.04872333	27.84182153	22.83091824	25.10805092	28.09280125	28.32564535	21.96295927	25.9187075	21.7031513	22.11806421	24.2928789	23.57750075
ENSG00000211677.2	30.82479425	29.97486932	33.28540459	30.39764503	28.9511871	31.64499805	28.56332768	28.27918994	31.77462594	30.97295394	29.81044715	28.94837686	29.52876451	30.92153067	29.70859369	31.61311447	29.80538177	29.50151909	32.17152504	31.62270139	28.33619925	29.19272324	30.2781931	30.3215225	28.36365107	28.90219218
A0A075B6L1	21.63791091	21.74521924	23.279984	22.07098965	20.1919512	22.40538935	22.85927835	21.37353637	22.43199241	20.74190137	21.93269763	21.3176589	22.10315979	20.47577177	22.28004843	21.49477317	20.63760325	22.30306357	21.56241706	21.10744778	22.08270806	21.34653586	22.39858307	20.58412568	21.51572235	22.18723115
ENSG00000211714.3	20.64540171	20.98509729	22.60465454	21.87429741	21.19072556	23.05862304	22.03392855	21.62958784	21.4021992	23.36197879	22.72872608	21.37272046	20.33679822	21.51650792	26.89469585	22.65879709	22.12678412	22.03406695	22.78311278	21.42850795	22.61394875	21.9160013	22.80956203	20.47583532	21.61692134	21.6340781
ENSG00000211746.3	21.31649955	21.61815621	22.74699642	26.99453213	25.36282379	26.3530107	25.71366256	22.57326446	23.66869374	21.19160046	25.6199168	21.37191998	26.18793768	26.72754326	27.25331632	20.93692291	21.62742996	23.05725566	21.69761587	22.83361924	25.61023208	25.94250502	20.65723016	22.35850072	22.59217758	22.31589338
