Majority protein IDs	B cells	T cells	Myeloid cells	NK cells
A0A024QZX5;A0A087X1N8	22.43190263688131	21.800636169386003	21.935804048796	21.776380456884
P06731;A0A087WYX0;A0A024R0K5;P06731-2;A0A087X013;M0QX98;T2HUW8	24.79281098352065	23.077658263418	22.111061883026	25.178306437518
O60462-5;A0A024R412;O60462-4;O60462;A0A024R3W6;Q7LBX6;X5D2Q8;O60462-2;O60462-3;O60462-6	21.067814033113685	21.657114748768002	22.49130012042	21.541689501764
A0A024R4E5;Q00341;Q00341-2;H0Y394	30.50879063910109	30.756347887550003	30.806767375859003	31.334373127684998
A0A024R4K9;Q9BXJ8;A0A087WZA9;A0A087X266;Q9BXJ8-2	27.611436857383257	25.523324696651997	24.653918617870005	25.514124822531997
O75503;A0A024R644;A0A087WZY0	29.01433658774822	27.260800053535004	27.604456974352	25.039862726318
P60002;K7EN05;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4	28.37654738678032	28.445675138099997	22.705264561571	28.870415438360002
A0A024RAC6;Q14241	28.533006073200678	28.358375945556997	27.982308222074003	27.948281463194
P26718;A0A024RAP8	22.486348474032596	24.401668306718996	21.818882990816	26.218093567836
Q16670;A0A087X2F1;A0A024RCN4;Q16670-2;B4DMT1	23.347512666602338	25.497536612885	24.039382070578	26.910953756742998
A0A067XG54;Q8NB49-3;Q8NB49;Q8NB49-2;Q8NB49-4	27.650681175185483	27.036250176503	27.453928653284997	27.43987739178
P11532;A0A087WV90;E9PDN5;A0A087WTU7;A0A075B6G3;P11532-4;P11532-3;P11532-2	28.212912475558444	26.115035135169002	27.682283051979002	26.932208542075
A0A075B6I0	27.98212882578742	25.402698151443	23.701918549698	21.617997270787
A0A075B6I2;P06318;P06319	22.24852150418358	22.08901439711	22.198160308924	20.893675045827
A0A075B6I5;P01702;P06316	26.634883648438155	24.471937477405998	24.657169944753004	20.813264149902
A0A075B6I8	27.02258082029497	22.280626077401	22.382103230807996	23.962040056738
A0A075B6I9;A0A0B4J1U2;P04211	23.365491373255672	22.266584287007007	24.143959654062	24.034769472522
A0A075B6J0	26.720176660702926	22.481711669153	21.922276616096	20.906687847252
A0A075B6J3	22.23554299410159	21.680650515862002	21.437819854150998	21.894253759488002
A0A075B6J4	27.303601768759123	25.391962451858	24.300628506122997	21.284477289095
A0A075B6J5;P01705	22.77018274734526	21.992358479032003	21.622972067815002	24.007371747545
A0A075B6J7	26.227020400088985	23.367528470553	23.080950514231	23.451638706909
A0A075B6J8	26.70158160785921	23.788816329748	23.418810601919	22.762340935216997
A0A075B6J9	21.916797618153183	22.173062553079998	22.304334652589997	22.189731872619
A0A075B6K1	23.469361157987198	21.869337374306	22.012030252145	21.591088868766
A0A075B6K4	27.68964237849615	25.057680708941	24.191438623837996	23.618206722674998
A0A075B6K5	27.23618070556244	24.857795426337	24.251967357188	23.871020404945
A0A075B6K9;P0CG05;A0A075B6L0;P0CG06	30.381081444518546	29.726140761973994	29.507382490839	28.681228762567002
A0A075B6L1;A0M8Q6	21.707209730323967	21.561156198399	21.612644894297	21.911711089359997
A0A075B6L6	20.84275195946305	22.325313636159	22.110658826668	21.627038681372
A0A075B6N1	21.489647192339763	24.725464194539004	24.407733618151	22.429252787259998
A0A075B6N2	21.157312890232976	22.4544538053	21.547151570995	22.116219219207
A0A075B6Q5	23.169005558694128	21.457642121276997	22.058402646370002	21.281318704232998
A0A087X0Q4;A0A087WW87;A0A075B6R1;P01614	22.061993649976	21.985468419306	22.787576215912	21.77580651088
A0A075B6R6;A0A087WWX3;P03986	22.287225475550443	22.023256184906998	21.767480281562	21.440800449172997
A0A075B6S3;P06310;A0A075B6S6	21.500483151053896	22.490767256867997	24.003546986627	20.878293895487
A0A075B6S5	22.62275190818318	21.975390236901998	22.069418586875	20.485113695434997
Q9C0C7;A0A075B6T1;Q9C0C7-4;Q9C0C7-2;Q9C0C7-3;Q9C0C7-5;Q9C0C7-6	23.52425150917708	23.749199890785	23.448574413276	24.802588926292998
Q9NVX7;Q9NVX7-2;A0A075B6T4	26.552347147832215	25.959948056785002	24.864749758981002	27.062190989672
A0A075B6T6	22.873622289985	24.469205885596	22.412756205768	20.436565726882
A0A075B6T7	22.528048441389856	22.748669847737	22.188566401263	20.853502263776
A0A075B6V5	22.221483389221074	22.293880190854996	22.834223131953	21.998105433419
A0A075B6W5	20.327506544922503	22.891985632162996	22.122002352937	22.387606122598
A0A075B6Y5	22.472943994621534	23.917784074725	21.886021525501004	22.269545669935
A0A075B738	24.616176683156684	21.697680173704	22.449655077357	21.9352487708
P82921;A0A075B746	26.968119823799615	26.671402495661997	23.984307470414	26.970981565332004
A0A087WVF8;A0A087WX83;A0A075B749;Q5VU43-3	27.416340719567042	27.134194034561002	26.868123848745004	26.663249924399
O00623;A0A075B773;K7ELY8	21.478580446659333	21.935185027181003	22.602138787227997	21.683815384905
A0A075B7B8	22.141285160118983	24.987559723074998	24.327605265867003	21.547090734516
A0A075B7D0	22.732914287489248	21.608955287253	22.123382719491005	21.818016213009
A0A075B7D8	21.68673243657834	22.620116783628	22.642472986644	20.762577910589002
A8CG34;A0A075B7F8;A0A087WY75;A8CG34-2	28.142757556137383	27.831074700466	27.900962701330997	28.363171263853
A0A087WSV0;Q9HB09;Q9HB09-3;I6LJZ7	25.16522920810919	25.064951791614	24.396128932065995	23.720571436435
V9HW75;A0A087WSV8;P80303;P80303-2;Q2L696;E9PKG6	25.635221579816015	29.922084113651994	31.652759759591998	30.828520501502002
Q16881;Q16881-3;A0A087WSW9;A0A087WSY9;Q16881-4;F8W809;E9PNQ6;Q16881-5;Q16881-2;Q16881-6;E9PIR7	31.57223361226877	31.909341153558	31.624659312909998	32.037016177785
Q96IY4;A0A087WSY5;Q96IY4-2	27.40779561158884	26.302633035468006	24.881180379287	26.460969804275
A0A087WSY6	22.967465581949806	22.883180322544003	22.630646382455	24.367904877493
A0A087WT03	21.11931730449555	22.722965636865997	22.849829760217006	20.936407007091
