Majority protein IDs	B.memory	B.naive	B.plasma	T4.CM	T4.EM	T4.EMRA	T4.naive	T8.CM	T8.EM	T8.EMRA	T8.naive	Th1	Th17	Th2	mTregs	nTregs	Basophil	Eosinophil	MO.classical	MO.intermediate	MO.nonclassical	Neutrophil	mDC	pDC	NK.bright	NK.dim
A0A024QZX5;A0A087X1N8	86.2505547	89.91290511	87.84231135000002	87.91458694	90.72850831000001	85.04602255999998	85.22938264999999	87.0284648	87.89781525000001	85.13067527000001	86.62847219	86.98725153000001	87.78701694	87.89381652	85.18171222	87.31932311	87.44704919	85.55117968000002	85.39564791	88.68348409999999	90.28720262	89.09357339	88.95170145	89.7609554	87.46547849000001	87.84538226000001
P06731;A0A087WYX0;A0A024R0K5;P06731-2;A0A087X013;M0QX98;T2HUW8	98.00870712	95.14434975	90.93735863	93.31632026	90.28995919	87.74093511000001	86.04411413999999	88.94378422	88.17148704000002	96.26962154	87.59646484	90.03939861999999	85.88187569	90.90858270999999	93.83050162	92.12387837000001	89.42693599	93.87081242	86.08064346	94.41351576	91.07852714	90.00457241999999	89.40608392000001	88.75358997000001	91.09356627	89.51951534
O60462-5;A0A024R412;O60462-4;O60462;A0A024R3W6;Q7LBX6;X5D2Q8;O60462-2;O60462-3;O60462-6	85.29974997	87.15887157	90.70019073	93.82155376999998	86.87654705	91.50919599	84.58461154999999	84.36561543	88.95747746	92.84509116000001	87.60374023	86.79562468	83.49303042	90.53201058	87.95782047	86.36294307	90.39617813000001	87.36036804	89.0008616	92.56283063000001	88.05175645	89.18395387000001	92.10126050999999	90.4636833	88.90256585	89.54058804
A0A024R4E5;Q00341;Q00341-2;H0Y394	121.84347867	121.35306118	133.40213656000003	122.87819744000001	122.73826605	123.45137461000002	123.15971899	122.96851756999999	122.51833022	123.23480162	123.69910825	122.54046777000002	122.90204873	123.23437308000001	123.72385911	123.58696958	128.10735955	129.44239051	123.13613964999999	121.45481355999999	114.02788318	128.03931523	127.80958494999999	128.0029466	124.52050739	124.44061529000001
A0A024R4K9;Q9BXJ8;A0A087WZA9;A0A087X266;Q9BXJ8-2	109.88098139	111.82336713	108.61243111	104.140658	99.03996795	106.32071164999999	95.22541487	98.14196968	106.45253977	106.71333982	99.17323008	96.99500497	101.86914945	99.06841899	96.05560201	101.98018361000001	96.17588218	97.17143126	113.99796644999999	111.24547665000001	92.25796854	99.53491937000001	102.74474381	103.10324214000002	103.1294907	95.81469407
O75503;A0A024R644;A0A087WZY0	111.90585069	114.67971957	88.01911798	114.51641876999999	105.34005818	112.22702687	111.88851121	113.76351812	109.72139333999999	105.61850283	111.37718644	111.02456036999999	115.72668193	113.80546139	110.13889527	108.35839327	107.68241574000001	114.20421425	111.90045892	113.92926772	99.99092825	112.73796983999999	114.85544228999998	117.00346152	90.99556765000001	109.77663522
P60002;K7EN05;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4	112.27991361	113.88957059	102.22710407000001	113.34067811	115.73276262000002	113.94383932000001	113.83592429	112.54971266	112.26672228	112.17067553999999	113.52839470999999	114.59563913	116.57834030999999	114.50067168	114.51241866	113.12552156999999	105.96829518000001	107.08700985	90.80307456	90.87705199999999	86.74363953	88.10123596000001	90.86114032	101.05071165000001	113.15153103	115.71188212
A0A024RAC6;Q14241	115.84725945	115.22196296000001	108.99639676	113.58045755	113.10918823	112.80729706	113.0431781	114.34749948000001	105.57276278	113.07080118	113.30640384	115.76212971	113.60447429000001	114.36160444999999	113.08375787	112.99756740000001	113.47435073000001	114.44812010999999	115.09879122	111.63168864	112.86422114000001	111.07413857	111.15194106	113.07445838	113.35397895	110.31459493
P26718;A0A024RAP8	85.10352514	89.53381634	90.88227118	85.41626772000001	97.19402293	87.46266012999999	94.70785012	88.97172023	88.08576314	84.85738364	94.53135228999999	87.68579109000001	104.66216308999999	106.41716048	104.35765792000001	104.70809416	89.21910201	87.88469941	90.50777938	91.86587189	87.14302648	86.37617709	87.64240000000001	88.16997022999999	107.01908215	104.18114597
Q16670;A0A087X2F1;A0A024RCN4;Q16670-2;B4DMT1	99.2794394	98.62028125999998	94.21117973	97.93919912	109.35460379	100.2324636	107.56949211	98.61673876	92.96042833000001	98.49709124	102.25157166	106.99621257999999	104.19378895999999	103.06233217	105.62054128000001	93.79253613	93.80981803	97.60728051	104.75313455	93.55873416	107.45673474	88.31621069	90.4706778	86.26003425	108.87656845000001	99.02323770000001
A0A067XG54;Q8NB49-3;Q8NB49;Q8NB49-2;Q8NB49-4	109.84214965000001	111.52390957	102.96977773	110.10401448	108.63237428000001	109.26273527999999	107.97919943000001	102.40048331	106.81174666	104.41561184	102.67637153999999	101.24145659	110.03851277999999	109.24144773	109.75637022	109.66335947	110.58280477	110.87324398999999	108.33515142	100.43415472000001	111.18576372999999	111.30273233	110.29540906	111.601212	111.83476601999999	108.96121631
P11532;A0A087WV90;E9PDN5;A0A087WTU7;A0A075B6G3;P11532-4;P11532-3;P11532-2	113.48132514	113.0323248	102.66007013999999	85.53631435999999	103.62936048	105.4269585	101.68010543	94.48230523	99.68682030000001	108.61215353	106.47728834	100.43886357	96.76698252	103.62845208	108.38572225	97.73018477	91.30059646999999	95.35792083999999	110.97338164	105.43663158999999	114.24785225000001	111.07136792	105.14131265	112.54137728	107.01689507	101.41821299
A0A075B6I0	111.58371809000002	102.56631551	109.8269855	104.06881224	94.91191771	109.29992865999999	85.42308447	98.61817208999999	110.69985304	88.3212502	97.15462443999999	102.16486235999999	96.42539504	98.5715117	94.01919251000001	92.32710469	105.63368612	99.00446681000001	93.21003744	105.40696433	87.79118701	93.0886804	101.02973915999999	96.98133082	103.12002265000001	88.72831209
A0A075B6I2;P06318;P06319	84.95184454	91.27001493	100.43547779	90.19973445000001	87.32601621	87.47001112999999	89.38278036	82.72753395000001	97.96907293	84.45556217000001	91.91820546	91.04786084	90.33379841	89.75068747	87.71842778000001	89.38753525	92.09349564000001	87.53443820000001	87.38378007	90.29935211	89.56205505	90.89071126	84.1364361	88.51384841000001	84.48771368999999	86.09322757999999
A0A075B6I5;P01702;P06316	107.05373886	107.64812986	111.93783906	108.35897449	90.26960787	111.82196828000001	96.85853213000001	104.6017705	111.58385201	98.56028207	101.67299951000001	95.84177648999999	102.55724204	100.0019662	99.92526081000001	104.52807409	101.67887382	98.95182413	104.0040608	108.72987829	107.76768331	102.56402296	112.23386567	111.25172037	93.21373539	89.14150156000001
A0A075B6I8	106.90949395999999	110.57543282	108.11073807	92.64789563000001	87.48286005	100.36786462	86.95114465	86.41028249	114.44746641	89.3280556	88.9086884	89.07333516	85.79444167	90.20490206000001	87.95303725	91.96349564	105.04770275	88.96029501	109.32580422000001	93.44278806	88.0426165	87.47446186	98.17430866000001	91.67826098	88.22782827	91.60483686
A0A075B6I9;A0A0B4J1U2;P04211	90.13651241	96.64635847000001	111.21062618999999	90.67921004000002	91.31310844999999	112.1845052	91.07223336	86.97454109	108.02703073	89.19168686	87.69950633	84.77826733999999	91.24022928	90.42072231	85.2344324	91.39629733999999	93.50194742	86.61987515000001	105.42348084	90.92413524999999	86.68827346	101.66358662	101.42939239	98.49795007	96.76631916000001	93.16237749
A0A075B6J0	106.67236812	109.84786476999999	98.94066623	87.95576334	86.78222293	104.93238351	85.22080722	86.05693041	109.13123379	94.43195048	89.72037621000001	89.48808822	87.89201718	88.86509865	86.44437491000001	92.41869354999999	100.85495015	92.43942856000001	94.97732608999999	97.11748191999999	88.23196851	89.70393639000001	94.95526849	90.45727618000001	89.3604354	83.60203682
A0A075B6J3	85.03320353999999	87.66120055	90.13285773999999	85.30949795000001	87.18855950999999	87.29234725	82.15250488	85.93570951000001	90.23478589999999	88.08019125999999	87.21351748999999	87.04952488	88.23905074	87.08282526	88.36895615	89.49072436	90.63066448000001	87.58223694	86.13661474	94.82193692999999	88.57944544	91.25616488	91.16421387	88.12617307000001	87.81229088	88.03366645000001
A0A075B6J4	104.44901876	115.92635899999999	112.7766525	104.18873388	97.86504249000001	101.20843236	96.51508393000002	94.90432414	110.39685247000001	104.30035318	100.76146732	103.7421114	98.69946959	102.0270643	99.64163394	95.57305548	109.24775621	98.93646421	116.55807307	109.43219504999999	93.37690884	93.18801402	102.32701616	94.37003106	87.45264213	90.76076503000002
A0A075B6J5;P01705	87.77226959000001	87.88307871	89.51665818000001	90.45026114	87.33426354	93.04035409	83.63014114999999	85.21914251999999	94.82414514	88.72161462	85.10210724000001	86.3211646	92.77813991	87.71381798	84.77611716	86.95840675	89.27818952999999	96.04819389000001	88.65156053	90.52671061	87.37957166000001	90.86927814	94.19320775999999	90.92395932	91.88240291	94.32336465
A0A075B6J7	100.17854354	103.86166058	108.81467008	98.96926465000001	92.07766484	109.47376191	86.86372118	89.50849294	112.88944203	94.37504029	91.2220013	97.63029602	90.74375247	85.60269493	87.54771330999999	96.07181359	108.40509207	97.23055468999999	110.17801137000001	103.87610526	88.72939252	92.16279374000001	102.56854754	95.61596844	89.30191288	91.24935199999999
A0A075B6J8	105.44409548000002	109.92193488	114.11871812	96.52786691	90.80307987	107.51173557000001	85.71052649999999	90.25974083	112.74757617	99.98998004	94.64934437000001	92.82726481	84.17155602	93.61664129	85.91911282000001	87.85415492	98.89880665999999	93.51210463000001	108.33047303	102.89630375000002	89.2911534	93.73535677	101.19973693	97.45896934000001	88.62945877	85.39558063
A0A075B6J9	87.96088752	88.20090801	92.90070083	90.18602861	86.70785679	86.98004355999998	87.82920977999999	87.47914693	99.67483041	89.28816714999999	85.51527859999999	86.04632123	85.08857037	89.61956943	85.75966172	87.06157504000001	84.87258409	83.10624469999999	87.9087379	89.40472376	90.77458987	90.30323290999999	88.70610435	87.39487358	87.59765489	89.30639907
A0A075B6K1	100.6067798	94.88423886	105.3349627	88.11677897999999	87.69279883	91.95191086999999	86.4805603	86.96606993	92.46888039000001	89.24599581	87.34349805999999	84.62368744	86.92608331	89.44115942	89.28164926	87.43924136	91.8436339	87.6790892	90.19505699999999	91.14575996	89.75427733	88.70210963	89.56539655	89.35764775	87.13763395	86.86040776
A0A075B6K4	107.16266581	111.98455804	103.98110237	94.36114902	98.28078129	108.49591827	91.88453412999999	88.54440435000001	116.35171821	98.29687896	97.67688435	97.59374401000001	92.71903056000001	101.65769773	89.70284261	90.22984342	99.62785455	101.28687159	106.50790137999999	103.64321155	88.01932851000001	91.74105402999999	99.61444403	98.79041961	92.40984929	97.13343798999999
A0A075B6K5	106.03562951	107.66322995	118.19343424	103.19069161	98.1324244	103.13235911	88.46465122000001	88.58405585	120.40588556	106.00546419	107.65604133000001	107.33622942	87.63428274999998	103.10568452	96.8325467	96.29167491	103.97747204000001	94.91546816	114.01061389	110.46071532	89.93491199	103.38768463	98.65844881	102.00377305	91.51279765000001	92.45538051999999
A0A075B6K9;P0CG05;A0A075B6L0;P0CG06	118.47149945999999	119.72291107999999	130.43718106	121.43014901999999	111.44850819	126.5674958	115.20048255	115.24512506999999	129.48000465	122.11593488	119.54794343	119.05911662	115.45120659	119.37060195999999	114.41904148	116.65636972	122.88856013	120.04667791	128.71203744	124.19168730000001	110.32088966999999	115.98049198000001	121.23709379	119.92506843	112.34162904	112.61607617
A0A075B6L1;A0M8Q6	87.06457177	87.04247937	101.32473357	85.73858867999999	87.91548897999999	88.10247579	89.60608595	85.37888848	89.60399582	84.81810465000001	85.49255783000001	86.25826199	88.00362200999999	88.07433069999999	89.71623259	84.63934110000001	80.76013366	86.77618193999999	88.84889319	84.8499436	87.17825638000001	86.60339236	84.42490355999999	84.36308396	86.62625146	86.63933369
A0A075B6L6	88.84616714	87.41698513	89.31483665	91.3292152	94.88568946000001	90.93769725	85.89797315999999	89.79074184000001	88.41076233	92.86347534	88.22761794	91.95244618	86.19440732999999	92.92027014	99.10187425000001	95.28623429000001	87.90888039999999	91.41387873	89.34256850999999	90.54706596999999	89.91209272	89.50573418	87.85289858	86.24250584	88.61903926	90.18197310999999
A0A075B6N1	87.21006114000001	87.09857027	88.85108387000001	106.21682933	104.60841563	104.20367228999999	94.78768315	96.82361925000001	99.90864945999999	98.97093689	99.42504284	98.74350136999999	105.37758880000001	93.53357418	101.77926251	94.02360328	90.72546465	91.14748549	86.01244442000001	89.52803448	105.96297225	97.70804377	88.31585838	88.56717343	90.84005948	91.75368739000001
A0A075B6N2	88.94827187	89.62073462000001	89.56678743	102.36009922	89.59938221000002	100.57133457	88.57076887	91.37429851000002	92.65770508	89.71269666	90.64722369	89.19333534	86.89144922	85.18330494	85.85493338999999	84.17477104	86.95370161	83.59681470000001	86.82776266	90.03862346	89.54362370999999	85.58514596	86.48530564	85.33090991	89.33687297	87.46073781999999
A0A075B6Q5	89.88797702	94.94279097	91.08898014	84.96156069999999	89.44826449	91.05109998	85.41024134	85.53238203999999	85.77773992	89.44101955999999	85.69551743	90.14937637	87.68721542	84.93736097	82.09650933	86.24194584	88.80021273	87.21822505	87.96377642	89.01939499999999	88.34662916	90.13760702	86.88372778999998	87.14666668000001	85.39670867999999	86.32553026000001
A0A087X0Q4;A0A087WW87;A0A075B6R1;P01614	88.58148612999999	85.52053488000001	89.7121125	97.19944695	86.56569594000001	101.34429975	84.16017389999999	90.12899139999999	101.13252342	86.02182395	87.661871	88.59612243	90.75866658	85.86591005	84.56894709	92.43339414	89.64825884	92.68767606	87.87963470999999	89.46905249	90.19438877000002	89.82983456	95.66915905	90.20522213999999	88.95412830999999	86.17701744
A0A075B6R6;A0A087WWX3;P03986	86.23651051	88.13893454000001	90.59826346	88.38861772000001	88.68734768	96.85158065000002	86.84420694	86.30985204999999	98.46895420999999	89.29082709000001	90.97770476999999	88.65155340999999	85.74900804	85.02234286999999	90.53747336	99.16366278	92.07772756	91.12103841	93.65122952	87.29388834	88.0544764	88.05478276	87.4412093	88.06539541000001	95.99572651	90.05479201
