Majority protein IDs	healthy_sample_0	healthy_sample_1	healthy_sample_2	healthy_sample_3	healthy_sample_4	unhealthy_sample_0	unhealthy_sample_1	unhealthy_sample_2	unhealthy_sample_3	unhealthy_sample_4
A0A024QZX5;A0A087X1N8	2187.0346703389187	2187.8061466943473	2186.791970835547	2188.010529535967	2187.497455985482	2150.1965368190586	2150.76931543778	2149.803895996765	2149.9655934289885	2149.915072405378
P06731;A0A087WYX0;A0A024R0K5;P06731-2;A0A087X013;M0QX98;T2HUW8	2201.8673841493355	2202.252453110708	2202.0282115950254	2202.5925355387917	2202.4297493663953	2194.855167587984	2195.069799828302	2194.844370202983	2194.3916512091673	2195.2633498129494
O60462-5;A0A024R412;O60462-4;O60462;A0A024R3W6;Q7LBX6;X5D2Q8;O60462-2;O60462-3;O60462-6	2182.7022908237486	2183.600860576735	2182.201152459969	2183.9469497293435	2182.5205622662293	2175.4365771374532	2175.228547846391	2175.290058870224	2175.9024504723056	2175.1220649807733
A0A024R4E5;Q00341;Q00341-2;H0Y394	3072.8634136299847	3072.6764323983552	3072.776389337975	3072.3968808763466	3072.7494024193325	3059.664333621486	3059.9023365882335	3059.497715088091	3059.730501120931	3059.2885547978626
A0A024R4K9;Q9BXJ8;A0A087WZA9;A0A087X266;Q9BXJ8-2	2510.3335093720457	2509.8609741143046	2512.709748403711	2512.3030689765033	2511.5788324535133	2727.1012565433907	2724.0037138342273	2729.870987738068	2725.5830785725934	2732.6372569643163
O75503;A0A024R644;A0A087WZY0	2738.6609514402003	2735.356991227741	2740.4040794831353	2734.168246730163	2738.94596654223	2786.867718269232	2787.1239603884305	2787.6017437621363	2785.544477931503	2788.082053333301
P60002;K7EN05;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4	2733.951033873306	2723.696155210687	2737.0603771935575	2718.174646675805	2731.9555328981933	2807.6062353531224	2808.6303121347346	2808.5455739973777	2806.517349565082	2807.0640885962907
A0A024RAC6;Q14241	2843.8909346405703	2843.781482833672	2844.944898307292	2844.7920697826803	2844.739823536726	2917.4189199112757	2916.5113037854026	2918.4218824595573	2916.4767704790092	2919.7107033444277
P26718;A0A024RAP8	2328.059900824833	2325.1268711825314	2326.4696607073793	2320.896731652277	2325.459432785243	2164.3800954411336	2167.0727014442077	2162.154567274306	2166.2447725012476	2158.564654409823
Q16670;A0A087X2F1;A0A024RCN4;Q16670-2;B4DMT1	2522.225284636424	2520.265909170031	2523.477358799265	2519.4056173438107	2523.1897670356802	2507.9968252145254	2509.17406271795	2508.047964031559	2506.4023666707635	2508.6326914117935
A0A067XG54;Q8NB49-3;Q8NB49;Q8NB49-2;Q8NB49-4	2688.0809935683574	2689.7929508991774	2687.705818850899	2691.2791466595986	2687.8805332479433	2748.9109308705833	2747.2946451131215	2749.5365810763774	2749.6192622368467	2749.945373959589
P11532;A0A087WV90;E9PDN5;A0A087WTU7;A0A075B6G3;P11532-4;P11532-3;P11532-2	2585.8254853772414	2588.234339910323	2587.062786609057	2592.933981443173	2585.8441281080854	2912.5620250794504	2906.285132025444	2916.338228526759	2913.156343153607	2919.1283150174695
A0A075B6I0	2342.7441774659956	2342.074501872533	2343.9586772494054	2343.9258409002096	2341.64820732355	2594.747336487962	2590.239053529119	2597.58206605434	2595.586184863549	2598.7155170794636
A0A075B6I2;P06318;P06319	2241.0103385055704	2241.663670360028	2240.933450964692	2241.8819620403974	2241.654035619408	2205.3659649971687	2206.0202162766227	2205.019456494015	2204.910683362507	2205.282885813997
A0A075B6I5;P01702;P06316	2512.705410880956	2515.9058344662417	2512.8460287327975	2518.812093665597	2514.2451336757067	2571.7790347399787	2570.399233511753	2572.596104754713	2571.1363050997725	2574.4773799588243
A0A075B6I8	2318.586454243895	2317.4551096647238	2321.6565412134496	2320.8859653946083	2318.8146663188772	2700.8075068031176	2694.7043083739454	2705.4008154181565	2700.0820106722545	2708.6585911052334
A0A075B6I9;A0A0B4J1U2;P04211	2289.2233536656104	2290.925715252174	2288.2893578672574	2291.8643294973535	2288.46896740163	2317.1050546302545	2315.8484364577566	2317.2568345434966	2318.397794634808	2316.9438022072172
A0A075B6J0	2305.5628394174482	2306.0103807050996	2308.260618796438	2310.223372768279	2306.473752876337	2656.748144200265	2650.9624370191186	2661.021578747293	2655.807904854003	2664.653202559711
A0A075B6J3	2197.4146190457764	2198.567400393356	2197.4193973976367	2199.4138008752907	2198.1718373038793	2192.2665711803725	2192.295508243372	2192.2796103311007	2191.834617773563	2192.9068784523815
A0A075B6J4	2528.687861444008	2527.7589932932424	2531.7456148843216	2530.463675084357	2530.4038640795125	2778.1983026159414	2774.8509710285775	2781.443741448624	2776.039870066943	2784.8415746709084
A0A075B6J5;P01705	2187.893143955025	2189.2248215022073	2187.585155288285	2190.0624035888354	2188.2018627310167	2188.2261878111	2187.942716862417	2188.2287726204536	2188.312410865837	2188.5424783834496
A0A075B6J7	2379.4624874062274	2381.51003616628	2381.659573647905	2386.2558397417897	2381.1670566399425	2670.569801332109	2665.631965032737	2674.19636783149	2669.316956328504	2678.056200011537
A0A075B6J8	2348.7499836115417	2350.154679955645	2350.8218562718625	2354.501302903125	2349.6085879148004	2664.5780141593764	2659.094247368098	2668.3906314422393	2663.99770702015	2671.73312043603
A0A075B6J9	2190.717233998688	2192.4432530841973	2190.430794018348	2193.7992666088353	2190.9719183986977	2222.3267436498245	2221.3735100903314	2222.6762705594524	2222.5778279820447	2223.2187153778887
A0A075B6K1	2292.6290394403222	2290.7211893569724	2296.095789596405	2293.804833577396	2292.999127343192	2677.0152410061623	2671.1563726158965	2681.6842278883905	2675.9044394599996	2685.0411983031986
A0A075B6K4	2363.181335044819	2361.2173398628906	2364.507859682184	2362.5403797280496	2360.860845218934	2674.7787076218074	2669.1811044534065	2678.1774293196654	2676.470996524315	2678.7404048979342
A0A075B6K5	2480.409474456313	2479.9185489540423	2482.722520055211	2482.4943043074727	2481.250523640664	2725.1798402311097	2721.460149028268	2728.219252646935	2724.065234905622	2730.883273245159
A0A075B6K9;P0CG05;A0A075B6L0;P0CG06	2904.916052738473	2904.2669304858414	2906.012844020089	2904.8784106140665	2905.528326454001	2976.453250938993	2975.650852150596	2977.416155283759	2975.5926035709517	2978.4716364146225
A0A075B6L1;A0M8Q6	2167.9821967275248	2168.6664802058017	2167.2466904180874	2168.500124951429	2167.6359540346793	2128.243375508904	2128.5915038785656	2127.695722859626	2128.8267102614845	2127.118717744004
A0A075B6L6	2248.5757660264935	2248.42878260776	2248.9055286277717	2248.998786691952	2248.234493854949	2323.2010877961166	2321.8447424671476	2324.0360958781794	2323.482535607648	2324.360356302284
A0A075B6N1	2410.1302414480356	2408.673429858812	2410.0273693918684	2405.870211331992	2411.6801283283735	2161.6694744842653	2166.9118176476177	2159.0237987166747	2159.708472537613	2158.195894627676
A0A075B6N2	2210.7612678535206	2211.090397571785	2211.145598167283	2211.4079539181776	2211.8200951580943	2187.132349894521	2187.830933671039	2187.0032633516257	2186.1425965170683	2187.6894679868146
A0A075B6Q5	2198.339141656586	2198.9647016474546	2199.765642644868	2201.0962114695344	2199.6778360504873	2324.4199870113107	2322.5808270621797	2326.0921891595767	2323.174267756215	2328.2426601777056
