Majority protein IDs	healthy_sample_0	healthy_sample_1	healthy_sample_2	healthy_sample_3	healthy_sample_4	unhealthy_sample_0	unhealthy_sample_1	unhealthy_sample_2	unhealthy_sample_3	unhealthy_sample_4
A0A024QZX5;A0A087X1N8	312.517921178223	313.06580104019883	312.7732361384647	313.69439729852616	312.96317338013336	313.1418019204047	313.27805186248673	313.16894992947255	312.9050642872642	312.876284109789
P06731;A0A087WYX0;A0A024R0K5;P06731-2;A0A087X013;M0QX98;T2HUW8	316.7462018126404	316.0179425866659	314.9971980591806	315.9386177412922	316.1271877849934	323.1071770640287	320.0978720951318	321.4450961184899	319.8951509560662	322.39977336910334
O60462-5;A0A024R412;O60462-4;O60462;A0A024R3W6;Q7LBX6;X5D2Q8;O60462-2;O60462-3;O60462-6	313.2253409323219	312.950451488039	313.517677288511	312.70381386788677	313.1391561631197	312.14937562780574	311.78425156299284	311.3405042866633	311.68293091939654	313.3017396831616
A0A024R4E5;Q00341;Q00341-2;H0Y394	345.7463544013346	345.6750721720065	345.73471478456406	345.75728241333354	345.7188536636928	344.6831468029847	345.00487673917934	345.0446565259931	344.9521731175422	344.54406800167175
A0A024R4K9;Q9BXJ8;A0A087WZA9;A0A087X266;Q9BXJ8-2	326.0333065492076	325.69122358395	325.8193003146785	326.3774524142986	326.36092159106624	334.0653562685968	333.48790293734913	333.8305750402937	334.2152336991537	333.92357456665513
O75503;A0A024R644;A0A087WZY0	335.1042309147994	334.3869860191999	335.1787658206646	334.5160540361704	334.8371318113511	336.7337584292793	336.775281229728	336.8633185356843	336.52473153630496	336.6138053415747
P60002;K7EN05;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4	333.4065424258299	333.30714571476256	333.7460062274209	333.2531938635858	333.3779978240199	337.39762026618985	337.24547215810065	337.1216794361738	337.12888113139036	337.0908674395731
A0A024RAC6;Q14241	337.82287875903364	338.24851627268447	337.9543513585598	338.2209548805577	337.61650685428964	339.1952283779488	339.3206510905309	339.7174979748711	339.645619806779	339.1899883748503
P26718;A0A024RAP8	318.8370742168267	319.636316532288	319.41455903806053	319.2464294561884	320.15371833438786	314.34105073803005	314.5634130959926	315.24823608430296	314.30525289825624	313.27392232584174
Q16670;A0A087X2F1;A0A024RCN4;Q16670-2;B4DMT1	326.6062483090796	327.43170483475564	327.58308239091326	326.4533969565494	327.4399594444637	325.55034647134164	325.08276532808503	325.7168724618295	325.128975401459	326.4941327333015
A0A067XG54;Q8NB49-3;Q8NB49;Q8NB49-2;Q8NB49-4	334.052228708304	332.990089830218	333.572019836553	333.5562520538325	334.0645891961997	335.25686722341766	334.9064130385236	335.5780533534407	335.3177351993755	335.03562620000764
P11532;A0A087WV90;E9PDN5;A0A087WTU7;A0A075B6G3;P11532-4;P11532-3;P11532-2	329.7287139593573	329.8072765405181	329.44830106340805	329.6361089312196	329.3375599255529	335.8924355814534	335.69131670377783	337.16168032115127	336.9571902059441	336.8544245899705
A0A075B6I0	320.712952420284	320.2780376166333	320.85165925394585	319.8828382543989	321.79751133372764	329.00935690123197	329.74618355107117	328.16922049745443	329.5854860530718	327.9552584761137
A0A075B6I2;P06318;P06319	313.90638014537535	314.08405297874685	314.31701340593236	313.6281240157403	314.4974967109405	314.39182958347567	314.1999027330344	313.5260037281799	313.39108412699005	314.6834549977205
A0A075B6I5;P01702;P06316	325.6317281840809	327.5134311583388	324.91742051264924	328.3174375438411	326.62871533158375	332.3657776856688	331.2694241981255	330.42453882723805	331.72111215242006	331.7638085559785
A0A075B6I8	317.3731300128198	316.0189686619405	315.63773963296524	316.58550133190386	317.17311083781294	330.8855758762755	330.0794715580248	330.50946918070235	331.28576101958595	331.10257255809097
A0A075B6I9;A0A0B4J1U2;P04211	316.9763743365192	317.20640675946015	315.82386992446516	316.46286003430595	317.02838675213496	320.3563068470123	318.41077792895584	317.9652688779165	318.5379462521772	321.7572023938446
A0A075B6J0	315.7213115300436	316.0935084256908	315.9859609726387	317.52249125763126	316.2894519151039	330.52107848801234	329.7574354650524	329.4150052586367	330.50424183328306	330.84862370319763
