Majority protein IDs	healthy_sample_0	healthy_sample_1	healthy_sample_2	healthy_sample_3	healthy_sample_4	unhealthy_sample_0	unhealthy_sample_1	unhealthy_sample_2	unhealthy_sample_3	unhealthy_sample_4
A0A024QZX5;A0A087X1N8	2194.826907270123	2194.4498258345907	2186.2523615940345	2200.002217446946	2164.4191969380563	2197.2416039375803	2202.2781762968107	2241.8434552726294	2200.1965739447132	2199.802345268969
P06731;A0A087WYX0;A0A024R0K5;P06731-2;A0A087X013;M0QX98;T2HUW8	2270.644034184219	2268.0931432512766	2276.434403618425	2258.490563012368	2271.792972844785	2382.576643081477	2334.2821730662545	2377.116400443415	2384.21998500516	2374.954042188303
O60462-5;A0A024R412;O60462-4;O60462;A0A024R3W6;Q7LBX6;X5D2Q8;O60462-2;O60462-3;O60462-6	2191.9303080342092	2194.336325053528	2205.0512255072663	2198.181339948896	2195.0073113854623	2150.2628502911457	2140.9787886007066	2152.677447107981	2157.262710021901	2189.7029085882286
A0A024R4E5;Q00341;Q00341-2;H0Y394	3073.4837315151467	3068.7573418283437	3074.1679644835895	3068.682806743794	3074.083338699095	3049.7802444322174	3055.2788956751356	3055.1712675630865	3045.959685715691	3044.8459926023834
A0A024R4K9;Q9BXJ8;A0A087WZA9;A0A087X266;Q9BXJ8-2	2519.9050030852877	2507.479858336531	2510.0722077201553	2514.0402541229823	2507.561344763169	2735.075951450313	2723.188269987228	2725.900253651869	2715.300030216241	2718.2354966042885
O75503;A0A024R644;A0A087WZY0	2765.820141880666	2756.8743315442007	2767.4593692463404	2756.239339593897	2748.6734973545135	2816.015905091298	2809.438635808133	2850.081947280469	2813.655776113683	2840.9017358175497
P60002;K7EN05;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4	2708.445989117323	2713.8596510469506	2736.197619808392	2708.5832621380223	2715.12263242393	2811.840093189402	2822.5228608542443	2801.775274877833	2820.0573256001567	2799.5538041006084
A0A024RAC6;Q14241	2836.61571606726	2831.0012614002494	2846.71020622432	2836.6498150805323	2834.2038642485195	2884.4812878967587	2876.5481353582536	2871.508612157685	2861.833811639639	2868.4188974395315
P26718;A0A024RAP8	2348.5835851278475	2340.0212156664547	2360.1505182884757	2342.3117635794815	2322.785708377511	2247.0939453241363	2240.6238372485655	2213.1406319780604	2245.4524250311115	2184.866146273632
Q16670;A0A087X2F1;A0A024RCN4;Q16670-2;B4DMT1	2538.680537594552	2522.157131005441	2540.3539133650143	2548.9790852866845	2542.074613651055	2461.215143857536	2428.2447114761426	2488.19169797312	2431.571528972273	2475.1077971136324
A0A067XG54;Q8NB49-3;Q8NB49;Q8NB49-2;Q8NB49-4	2707.1504546059205	2711.887547317383	2704.8665185489276	2704.533599744014	2700.4270262723467	2771.5055164203663	2753.7359537993075	2748.7806671736103	2754.0055283692286	2747.4723278060774
P11532;A0A087WV90;E9PDN5;A0A087WTU7;A0A075B6G3;P11532-4;P11532-3;P11532-2	2631.964158316614	2601.7798214106288	2615.0660177788445	2665.023366161872	2636.9542544886735	2817.5420279935606	2784.5134434801325	2729.0640101530807	2776.196282101781	2824.742636843543
A0A075B6I0	2406.142893878435	2353.153016090272	2390.6251771973407	2400.3905184244604	2344.5893143969347	2621.3349228385277	2681.752316088494	2650.8804978873272	2662.7839993672455	2633.7330382839423
A0A075B6I2;P06318;P06319	2203.726899540967	2227.170706561098	2204.158615852792	2213.7983308983694	2206.411580257133	2188.811773817569	2207.037842615458	2212.103434661571	2213.5087773868054	2229.887438264314
A0A075B6I5;P01702;P06316	2506.2305818880186	2515.268820784053	2560.8097845706166	2542.3497882183656	2535.8820955102155	2662.7551710880434	2675.54286898948	2633.0691928044243	2689.695022405813	2628.4267393912005
A0A075B6I8	2259.2606699106836	2287.130791861634	2256.5990052764864	2302.281249135035	2301.238069146779	2665.042665435759	2638.1409635411005	2616.7522419971633	2633.7597443675813	2657.563336991662
A0A075B6I9;A0A0B4J1U2;P04211	2284.9101369856717	2313.177774628052	2284.3985482461803	2308.0457657147876	2318.399458616542	2337.6614224281775	2310.4091799260846	2246.1321222765205	2375.5305227654217	2379.238268810505
A0A075B6J0	2264.7804275281496	2269.4310866735163	2249.308430266885	2275.818071953714	2271.875178601352	2616.402467922654	2623.8339391545287	2626.4282634707756	2607.0166078103175	2635.9406110182986
A0A075B6J3	2179.4321358667044	2183.774498318003	2176.8903461919017	2202.9848575757273	2194.4224747319436	2185.6886034468316	2170.745761726233	2154.803321702731	2169.0283725828144	2183.8069578219815
A0A075B6J4	2482.254684275393	2472.612672802123	2492.965753061171	2480.869358264273	2489.383973428066	2711.6032505810617	2724.2914313477613	2685.55643536876	2713.197672927613	2723.7708889616615
A0A075B6J5;P01705	2198.069011117311	2206.6718318924263	2203.1474726628303	2209.1015891038987	2197.2985565055506	2189.5070800076696	2175.0792959414	2235.622048588673	2165.1752059481496	2227.937534864117
A0A075B6J7	2324.246943734237	2328.8356240740873	2325.6472121237603	2381.416406331175	2329.636804326238	2594.5255517193523	2448.6559576697223	2478.6258039549266	2472.4185549533167	2588.9732390530794
A0A075B6J8	2333.9445191511127	2335.5649689808015	2329.761167494325	2337.3980279827438	2328.8356790171674	2636.8198934151396	2599.4160680498953	2586.687241347536	2621.637639413116	2666.2496219719615
A0A075B6J9	2195.5281817554364	2197.9941211119635	2203.9263942752737	2195.9954236356143	2192.048377771604	2222.3651030414585	2218.7021475104143	2181.28995589192	2228.413477345946	2203.894399100029
A0A075B6K1	2220.8262050429644	2238.9487914878773	2241.1161907151845	2259.6237335549163	2236.895244073073	2413.8540579970645	2348.0916354900605	2407.108476342641	2316.8342081733813	2480.283050231945
A0A075B6K4	2417.691854121229	2379.402112259929	2421.9204635572128	2387.924500580851	2388.14223868401	2700.625879984458	2673.792475266597	2676.17951765372	2674.697780822248	2686.493942453793
A0A075B6K5	2446.7939088471758	2454.6320493809503	2465.008911229188	2480.1419724140032	2472.9154067033855	2679.9560950630257	2607.134605890391	2567.9715101948705	2634.2670878875624	2684.1287174759477
A0A075B6K9;P0CG05;A0A075B6L0;P0CG06	2926.379808930714	2905.81909130706	2924.248780661789	2917.742173130048	2923.1238165544346	2963.053130283411	2953.9449761423834	2968.9863937746986	2957.7980337757194	3001.4007695923738
A0A075B6L1;A0M8Q6	2174.0372639789043	2170.1356727831026	2183.4031729747066	2168.3204306534167	2177.5288159337365	2170.5834083779555	2167.0214254119223	2172.433789866106	2189.1835404631724	2177.9747263791523
A0A075B6L6	2259.375309055622	2247.7655181337036	2251.7951181147023	2275.6039491495717	2271.642846610597	2217.7611543727717	2213.4071392758874	2177.3560229629215	2203.8321157663863	2210.0920425311438
A0A075B6N1	2466.6549549532297	2420.5102121240993	2477.768009961038	2432.5546843219436	2434.898385081425	2215.4755442126534	2194.6072673962303	2188.8168531941983	2251.4389245290276	2234.906760482126
A0A075B6N2	2218.0659081542817	2209.0514933627146	2223.992882671409	2223.7456621386973	2207.31691975027	2210.852201565469	2178.1833502058935	2216.0709345428595	2219.2144632253708	2225.567228254192
A0A075B6Q5	2190.4335929228155	2200.018409679126	2200.380523931855	2192.9223956880046	2196.475908950433	2311.431059775604	2248.01996420988	2273.5133610841144	2275.63211894037	2334.7634132285366
A0A087X0Q4;A0A087WW87;A0A075B6R1;P01614	2213.9979783751487	2207.8662361263705	2222.029003362319	2226.2693389451615	2196.958119928684	2192.6343559072575	2191.681168188455	2178.9670924867137	2193.405060086855	2184.733797379331
A0A075B6R6;A0A087WWX3;P03986	2223.9840119778924	2218.2420172378684	2235.106814058749	2192.154588394037	2200.7561637841213	2202.992215234127	2229.116430522359	2195.3163142497715	2228.5837002773983	2176.4401554151596
A0A075B6S3;P06310;A0A075B6S6	2239.6656451886647	2242.043941139095	2236.597735453529	2234.5372919944543	2234.4729223428303	2282.514878441058	2301.9663258045553	2206.536615501825	2280.4423399377424	2309.395928928091
A0A075B6S5	2206.9002636793184	2208.9513678159465	2208.3436714443974	2191.6912251003955	2210.9572952905514	2185.252557073632	2179.8320419323445	2220.4549217999756	2145.6657139290155	2244.469853245475
Q9C0C7;A0A075B6T1;Q9C0C7-4;Q9C0C7-2;Q9C0C7-3;Q9C0C7-5;Q9C0C7-6	2362.224486112391	2334.1783407793087	2386.9617594984884	2364.521694105995	2339.162012617084	2473.485133540723	2439.3197788879197	2360.653284797953	2457.5631344704066	2452.7261842855205
Q9NVX7;Q9NVX7-2;A0A075B6T4	2568.312969019511	2607.6881817689614	2632.3308377809644	2578.54130180614	2605.7989723620385	2518.743530934701	2535.260449798733	2544.3212697229246	2536.2374583455667	2573.311836583088
A0A075B6T6	2354.0583121565614	2314.3944242364155	2352.8560915580915	2320.9684452392735	2320.1222026408623	2201.3096816700336	2217.0539284029614	2271.108760316311	2247.921951064817	2226.916657941685
A0A075B6T7	2234.313341640792	2241.2711808402046	2248.8478038798576	2235.623881896625	2238.823514778706	2226.4706169318547	2235.4884687409863	2166.0222328242685	2242.7164707214083	2169.760240870026
A0A075B6V5	2223.347715439678	2226.847057163629	2209.70455783824	2230.004985643613	2210.908960835133	2189.0951853385504	2160.884539456027	2239.8470696869017	2188.405753316764	2231.345438877523
A0A075B6W5	2236.9060914160627	2209.9785377738563	2219.7249498323786	2230.241066996514	2216.2202627081087	2145.3535452406454	2110.0714042647014	2143.1419349995804	2135.339180607526	2182.010260887889
A0A075B6Y5	2290.1906115986253	2276.535191000831	2303.042190745169	2284.0900797421805	2263.4673515816485	2201.98808551974	2186.136826089023	2220.255738222788	2189.0938689953746	2201.519380900804
A0A075B738	2283.5578079635525	2289.1587434494877	2316.5071208734594	2295.2033167599534	2324.323345801285	2367.3657566069037	2336.1693057834	2398.052934272803	2336.3330171837238	2319.6269823527855
P82921;A0A075B746	2627.167130278673	2638.73911853553	2639.102456669166	2622.160477444195	2642.002536115801	2660.132379151619	2666.529635051226	2673.9874558574434	2657.305915423638	2649.2494754999084
