Majority protein IDs	healthy_sample_0	healthy_sample_1	healthy_sample_2	healthy_sample_3	healthy_sample_4	unhealthy_sample_0	unhealthy_sample_1	unhealthy_sample_2	unhealthy_sample_3	unhealthy_sample_4
A0A024QZX5;A0A087X1N8	7.697301414838336	7.691667574756993	7.6979582327917795	7.688741038766285	7.693914103227239	7.698071053717472	7.689866323302721	7.6988895628357366	7.700218325780296	7.694449059594721
P06731;A0A087WYX0;A0A024R0K5;P06731-2;A0A087X013;M0QX98;T2HUW8	7.73000314595653	7.739548197498975	7.7268607560568405	7.717158677282422	7.740185536198473	7.76322367793705	7.747623996860136	7.766523240732784	7.743883433125945	7.767253925810194
O60462-5;A0A024R412;O60462-4;O60462;A0A024R3W6;Q7LBX6;X5D2Q8;O60462-2;O60462-3;O60462-6	7.693542600841246	7.695497821069327	7.683719103118992	7.694787968306858	7.69060735306254	7.685313368857094	7.672614409185487	7.679253309638925	7.678490930547862	7.685132714850332
A0A024R4E5;Q00341;Q00341-2;H0Y394	8.029672802063326	8.03104801816742	8.03083202872211	8.031136200758981	8.03014978531667	8.023006595239668	8.0254584147568	8.023911768847059	8.024733940391274	8.022086211412464
A0A024R4K9;Q9BXJ8;A0A087WZA9;A0A087X266;Q9BXJ8-2	7.830480901209524	7.833078081421976	7.832075860907573	7.83319953790204	7.834564695532208	7.909070626417472	7.908936045667578	7.908199054830299	7.910639416561507	7.913417659637259
O75503;A0A024R644;A0A087WZY0	7.920674462841569	7.90806754704073	7.914110850636106	7.920788607817077	7.911762966237381	7.948512545749254	7.9415607132463935	7.945978727217041	7.94757621380656	7.941027215178398
P60002;K7EN05;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4	7.910066269628064	7.91148778889168	7.911270947847724	7.908293754910383	7.907058162071401	7.943690303634451	7.941526066261703	7.942730842726109	7.9394262972585325	7.940961904439776
A0A024RAC6;Q14241	7.949152763165464	7.951570107654006	7.950755523086029	7.949557614482707	7.949087666679353	7.962832149292302	7.9702959251942485	7.963722789999846	7.9658715314083794	7.967663121830009
P26718;A0A024RAP8	7.76769400729982	7.756266141379688	7.764568191868136	7.76139452132138	7.7585801731540025	7.693852549734867	7.710569266831908	7.706687075502963	7.708966030537824	7.702116651152127
Q16670;A0A087X2F1;A0A024RCN4;Q16670-2;B4DMT1	7.8473647064503265	7.840165725074404	7.838139145859285	7.84075220043869	7.841699281419837	7.81491082167742	7.806628470408763	7.8151708717313495	7.802711421414515	7.8267811207132745
A0A067XG54;Q8NB49-3;Q8NB49;Q8NB49-2;Q8NB49-4	7.909704413932273	7.905031616053693	7.904714143069489	7.9053429534970565	7.905437844405095	7.918604033820701	7.923991371179418	7.920696336656401	7.921158339470727	7.924074871933415
P11532;A0A087WV90;E9PDN5;A0A087WTU7;A0A075B6G3;P11532-4;P11532-3;P11532-2	7.866773560854221	7.860882712625809	7.877056615223491	7.879680996106142	7.877558632363592	7.944274752021604	7.952174972378648	7.9310953020910295	7.933519269344294	7.9354657928071255
A0A075B6I0	7.770970398331575	7.78150466244654	7.778368777878262	7.775097339096942	7.784301949164611	7.88258910392966	7.8726355753616515	7.878986067260267	7.886924250147126	7.863082388711901
A0A075B6I2;P06318;P06319	7.708627955527514	7.691345022163872	7.706208591546696	7.697675425253775	7.707065101566084	7.713755283009052	7.691543882141632	7.701863048799255	7.692024322476947	7.696547662268304
A0A075B6I5;P01702;P06316	7.841397381909593	7.832082310977954	7.832566933396162	7.827628577018577	7.841693885507282	7.871503353643762	7.87292025517722	7.87680621679827	7.880479648056421	7.8872100239849905
A0A075B6I8	7.728216377671694	7.732131905406103	7.7456303487118765	7.732570191455653	7.739473696078695	7.882932214117394	7.886192185791489	7.874543294404637	7.8823213219463435	7.8840790620391346
A0A075B6I9;A0A0B4J1U2;P04211	7.730424361526808	7.735091980372431	7.7278801591161645	7.727569656726963	7.73678681512114	7.759762335108455	7.74795795282808	7.7488407454411306	7.747190558208461	7.756422394135843
A0A075B6J0	7.725868376327441	7.731487295692972	7.73602005561383	7.731978831393794	7.736973241783555	7.879319852215851	7.869300926208743	7.869684646685157	7.869241757959543	7.8760883542973765
A0A075B6J3	7.69287035649535	7.691212785900441	7.695760771343671	7.688372466157319	7.6915838368892775	7.685844072208724	7.692883882733963	7.683360705218757	7.683943858909021	7.678809852291735
A0A075B6J4	7.813405171226837	7.832777708536683	7.8353989480846975	7.82342506837238	7.828881301897263	7.916248698098846	7.909463959438662	7.903254988530083	7.903877737379854	7.908007653519297
A0A075B6J5;P01705	7.6949397608413	7.695194202968054	7.70440229509504	7.693889894973776	7.699298661834105	7.708323630729449	7.692758396539446	7.698694483663528	7.688234330344112	7.687857600722147
A0A075B6J7	7.746886770842171	7.759420477979893	7.758376439347302	7.751013862039507	7.761613477260169	7.835660706161783	7.8673539921551	7.827459043228195	7.850263480264806	7.841696580631692
A0A075B6J8	7.7451738519693425	7.755319125332199	7.7585907981197595	7.753142227018052	7.760410867976667	7.880551169301874	7.873898598335955	7.866926900543019	7.872249410988726	7.878024346758187
A0A075B6J9	7.694535317421386	7.696960596318988	7.696874944684394	7.6987582265195025	7.697735537037711	7.693039033384094	7.707381220324629	7.698133899602926	7.718331336299285	7.703644333542482
A0A075B6K1	7.7185943736768525	7.717884948768312	7.716261945561563	7.711696978472959	7.707844603066724	7.806377356357202	7.817907013327466	7.789571714058818	7.805786352684447	7.801565720390825
A0A075B6K4	7.7807773077297755	7.788103164881786	7.782806050476156	7.798836565079891	7.797691404066869	7.894178225856447	7.8969756780154485	7.891866789844253	7.894929791362086	7.894736426026522
A0A075B6K5	7.8111969407831605	7.823907241022096	7.817162292469813	7.805762945273843	7.811283128271849	7.8848785854043015	7.89484880219185	7.8751466496383475	7.880152288383367	7.87963365148635
A0A075B6K9;P0CG05;A0A075B6L0;P0CG06	7.976445316549848	7.9859552588472535	7.982496610264994	7.982244090525913	7.97905467769618	8.006019109973723	7.996403738499425	7.9974452781790735	7.990152037222719	7.991370179760046
A0A075B6L1;A0M8Q6	7.685714981530625	7.6889512249410945	7.684675783010296	7.689366478955906	7.689007628826138	7.68103927890829	7.67606305881818	7.683647497587282	7.682565697692902	7.685598486135569
A0A075B6L6	7.726157343574478	7.7276591171301	7.725262872306788	7.723039184672968	7.732039063428148	7.703499840039962	7.716684605264221	7.704102508265947	7.7049333218297855	7.7144135684315485
A0A075B6N1	7.795862140406928	7.787349049997392	7.795915676240781	7.794889494989912	7.798955988026434	7.703418792620365	7.692037700686224	7.703924197292655	7.69310334316265	7.704798881318807
A0A075B6N2	7.709712888234813	7.696687245709481	7.694136727898073	7.698246322572715	7.7014887178395695	7.697889574833501	7.68831142607061	7.704443478640888	7.702510590079668	7.720481158516966
A0A075B6Q5	7.6858608120893255	7.691920714998527	7.690011253406274	7.689941477292082	7.695807480254507	7.740288838764991	7.742985069440881	7.734667917191837	7.74189197385451	7.744676324044458
A0A087X0Q4;A0A087WW87;A0A075B6R1;P01614	7.69774160542089	7.698275385878995	7.699809079647608	7.7013854777087385	7.712204234033796	7.688230155878008	7.693086003451746	7.687203530772751	7.697222121920812	7.686623187363536
A0A075B6R6;A0A087WWX3;P03986	7.701652638980305	7.702160385158256	7.6995405099277	7.711341731642446	7.70762437205897	7.68661543841243	7.693919051195042	7.6940946292990136	7.70746245410729	7.689396294471693
A0A075B6S3;P06310;A0A075B6S6	7.711409406298926	7.709522364543896	7.711006714168951	7.716334964408461	7.714407429222569	7.75137897989377	7.754532737813563	7.734543943299459	7.73481588930408	7.745826197793556
A0A075B6S5	7.692157920408143	7.694915762058219	7.698858143800265	7.699517651677298	7.696824787199032	7.719725056846863	7.710363439926074	7.700967187791235	7.690461224719693	7.6870569519126155
Q9C0C7;A0A075B6T1;Q9C0C7-4;Q9C0C7-2;Q9C0C7-3;Q9C0C7-5;Q9C0C7-6	7.767543824872166	7.748685593382433	7.760325008322561	7.768815032520755	7.7520742201725925	7.799502951219193	7.8148128002320725	7.796888127236453	7.809790082120429	7.812840592844394
Q9NVX7;Q9NVX7-2;A0A075B6T4	7.860334229336765	7.86491399590064	7.863503282838989	7.860536408303928	7.866837234536268	7.847034222147415	7.841848723022197	7.839965123662843	7.851946460591316	7.8210576053520215
A0A075B6T6	7.754058928597745	7.740190836163206	7.749661068689045	7.750959647755687	7.75732639737536	7.703562742963547	7.685260994576536	7.709510790527591	7.704507356605148	7.6963449831878945
A0A075B6T7	7.716757814190682	7.722283262537863	7.722988239066261	7.719115951673045	7.7189442784418185	7.681766575488307	7.704100038579958	7.692539542439905	7.707552669977054	7.689546705751312
A0A075B6V5	7.702187266845518	7.69955545163475	7.700519529834912	7.70408667852014	7.7082051707449954	7.700808688336678	7.683428443642751	7.699287387279835	7.693118389169899	7.699089743365294
A0A075B6W5	7.711522810213516	7.715637843630286	7.715176230975347	7.718933915028898	7.708957825797471	7.684848966344379	7.671944716165142	7.679306146039461	7.66917198967091	7.68849251806839
A0A075B6Y5	7.737867509305596	7.7301749435986205	7.729618723900867	7.730452870455653	7.731176706103207	7.6975021007517	7.6981489830512775	7.700018045188671	7.695735146849003	7.689947203316643
A0A075B738	7.7412180451346595	7.746539235538523	7.752565324700155	7.740022417799887	7.7435011302163685	7.741354746268236	7.753635935629205	7.757109484662471	7.761810399392315	7.754444769860879
P82921;A0A075B746	7.8786436263763875	7.880845712755144	7.881062500760311	7.875105052533924	7.87851566375242	7.885259883383545	7.887260791051278	7.887020986675591	7.882600306940742	7.883123852400022
A0A087WVF8;A0A087WX83;A0A075B749;Q5VU43-3	7.900444819396223	7.90173229767758	7.9031038964248665	7.905567337459358	7.8984558873891	7.911520279182945	7.90771293038032	7.911937778573826	7.913262841906137	7.911642325414779
O00623;A0A075B773;K7ELY8	7.7096008989195255	7.713514029270329	7.715501330563765	7.715703230772057	7.703947950520456	7.705715233754116	7.720680107383209	7.71405706993096	7.718853559525433	7.722268360228996
A0A075B7B8	7.773118370773606	7.781266530885523	7.7675850816903775	7.775166149339542	7.769183779429476	7.727728859461262	7.719046469291141	7.721340317335495	7.723694822099023	7.722093374252656
A0A075B7D0	7.687771211675222	7.690993446234242	7.686980860175716	7.685905236353131	7.6940380473822545	7.704162057603775	7.698167802348963	7.699154777616147	7.691462654278679	7.6905677875539915
A0A075B7D8	7.716361992629575	7.7166862366795534	7.712822321799693	7.703771869575306	7.710217830610694	7.7025999290597245	7.677376337546198	7.701419377312465	7.685494152885062	7.702917394716008
A8CG34;A0A075B7F8;A0A087WY75;A8CG34-2	7.939023770311475	7.935824869683927	7.936525295971416	7.935880391158974	7.934982746443116	7.929038576653428	7.9371794683863035	7.935038120604659	7.936734852608118	7.935378859735418
A0A087WSV0;Q9HB09;Q9HB09-3;I6LJZ7	7.776111056999451	7.779346322260817	7.789337647140284	7.792124433354516	7.795459318461025	7.753487965176798	7.755535703193499	7.750472408035264	7.752051854327207	7.716699672117012
V9HW75;A0A087WSV8;P80303;P80303-2;Q2L696;E9PKG6	8.006715115490248	8.004816772363743	8.00297056488133	8.00534278235539	8.007593559355353	7.875448907373228	7.881183137206391	7.874113690121812	7.873125068771621	7.869861418744149
Q16881;Q16881-3;A0A087WSW9;A0A087WSY9;Q16881-4;F8W809;E9PNQ6;Q16881-5;Q16881-2;Q16881-6;E9PIR7	8.061464278352187	8.062083332703242	8.060859175093073	8.062440880530897	8.062326188036138	8.0602866339173	8.05731852280126	8.058252866507855	8.05779370296548	8.057119623875543
Q96IY4;A0A087WSY5;Q96IY4-2	7.887371309070613	7.871358173609851	7.890937927160333	7.876690966498822	7.884447913744166	7.904784632411897	7.876380674964639	7.90790998372599	7.894962518231217	7.909661032098709
