Majority protein IDs	healthy_sample_0	healthy_sample_1	healthy_sample_2	healthy_sample_3	healthy_sample_4	unhealthy_sample_0	unhealthy_sample_1	unhealthy_sample_2	unhealthy_sample_3	unhealthy_sample_4
A0A024QZX5;A0A087X1N8	2188.7476481411327	2189.6175019105367	2188.4515109869185	2188.5286152164986	2188.331835585973	2231.2291919745303	2231.033134321541	2233.8554981943294	2234.205891268153	2233.7913847113305
P06731;A0A087WYX0;A0A024R0K5;P06731-2;A0A087X013;M0QX98;T2HUW8	2311.4075983306707	2314.450176155175	2306.1339892356928	2309.774750638537	2310.822668865258	2445.741918096617	2443.4693822405466	2452.4007630679725	2452.1757155576747	2451.604119631563
O60462-5;A0A024R412;O60462-4;O60462;A0A024R3W6;Q7LBX6;X5D2Q8;O60462-2;O60462-3;O60462-6	2177.5069239544964	2176.608588454447	2180.369943375548	2178.6494861256706	2177.576324942469	2120.822016827349	2121.671221737982	2118.7179843697963	2118.913154762729	2118.949704739749
A0A024R4E5;Q00341;Q00341-2;H0Y394	3076.644145417087	3076.4589573474295	3076.779897500325	3076.9094050184217	3076.803041894046	3056.751291213955	3056.6592785946445	3055.760591993877	3055.545991969673	3055.6908818274974
A0A024R4K9;Q9BXJ8;A0A087WZA9;A0A087X266;Q9BXJ8-2	2553.314422368667	2556.2765648921763	2548.8415478442716	2551.2880477220924	2552.3698619480692	2717.461184016169	2715.948202384687	2725.671537928881	2726.1416655613116	2725.246832086489
O75503;A0A024R644;A0A087WZY0	2741.140160656935	2742.94806845838	2741.189780633207	2740.210862083692	2739.8840956695935	2864.887100178801	2865.2106432150977	2872.164338210469	2873.613987283392	2872.3999164549195
P60002;K7EN05;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4	2723.400260333729	2723.7059757716183	2708.189857346322	2717.777596728017	2725.3255253703283	2821.2264341326195	2817.441641817788	2818.8647731813257	2815.8044206955033	2817.9250635827066
A0A024RAC6;Q14241	2827.869455924483	2828.0161613517694	2826.87938921924	2827.342847043162	2827.8677364509213	2848.0623492316568	2847.9122209583384	2848.6377730210406	2848.615716230741	2848.6359794605546
P26718;A0A024RAP8	2374.3631195680437	2372.32430887445	2368.7750045750604	2373.0974927747566	2376.419851782052	2280.560435339094	2279.058102303134	2271.8097995983435	2269.237936056286	2271.3375317847663
Q16670;A0A087X2F1;A0A024RCN4;Q16670-2;B4DMT1	2504.1223650384895	2501.585699564613	2501.9165986886856	2504.0531616074627	2505.9311537297303	2374.2774001439825	2373.763232678922	2364.9749037724487	2362.967302155268	2364.7839753061835
A0A067XG54;Q8NB49-3;Q8NB49;Q8NB49-2;Q8NB49-4	2719.8304568713274	2720.784052982986	2720.1049236294293	2719.9596361735958	2719.3549803752862	2754.9825542875165	2754.796995202735	2757.6438366114526	2758.033351761782	2757.5416235232638
P11532;A0A087WV90;E9PDN5;A0A087WTU7;A0A075B6G3;P11532-4;P11532-3;P11532-2	2667.654411710364	2670.744502318755	2669.211675096548	2668.160752068254	2665.9561687869495	2786.4700789674826	2786.1574474953777	2795.6060489927795	2797.136410828498	2795.3873788084957
A0A075B6I0	2513.450036001773	2516.0712560769703	2507.9513768301713	2509.815820719	2512.2915356161466	2736.601211629384	2735.891093851885	2746.504637722375	2747.6281897677086	2746.618568948859
A0A075B6I2;P06318;P06319	2208.0613492081143	2207.9406419083775	2208.7115595982223	2207.921018588941	2207.8704650390487	2220.292919632093	2220.781497462607	2220.9800653856228	2221.3789240761225	2221.2062773073876
A0A075B6I5;P01702;P06316	2457.1115348146973	2459.0929370884237	2456.953181267297	2455.604106230715	2455.5921277887724	2616.2694330422555	2616.896282950182	2625.1564100713904	2627.0328238288366	2625.5895645499863
A0A075B6I8	2281.1014483637287	2288.2083682499983	2275.646688037865	2278.7960371606946	2278.3708389876433	2612.262407849402	2609.441187509087	2631.665186255372	2633.4040746857363	2630.683422509639
A0A075B6I9;A0A0B4J1U2;P04211	2283.773520509022	2285.719801682975	2286.772268427827	2285.2710133585106	2282.6104361434927	2323.701506521969	2323.6551063223424	2328.8741265968247	2329.9089998642003	2328.6587157089834
A0A075B6J0	2269.756946998278	2275.269485345967	2264.5379937165617	2266.635413123815	2267.3681004405153	2584.891163396538	2583.2266913515723	2601.9887078805423	2603.9147881994986	2601.6110948755886
A0A075B6J3	2168.9161692787875	2169.765095543202	2167.600640345749	2168.394943755129	2168.6801603848744	2212.2312480968935	2211.7325883381986	2214.409444751758	2214.4789327953117	2214.2528202155268
A0A075B6J4	2517.84751908422	2519.412884349985	2514.7953180682694	2515.147727300763	2516.866717006881	2683.294795115372	2683.4131320362003	2690.6916237115615	2691.908656222506	2691.0547237890983
A0A075B6J5;P01705	2206.4917654053165	2208.1690777506838	2203.809978289595	2205.962618090776	2206.2590453630273	2263.6173945072005	2262.1923245336006	2266.665445930169	2266.355631337445	2266.108144592584
A0A075B6J7	2357.714185556265	2361.7535446017087	2353.923105657193	2355.852705386427	2356.1323505643595	2565.9273517700512	2564.3890304009146	2577.498701522439	2578.5822704819993	2577.034837433075
A0A075B6J8	2394.241115123545	2398.044577638194	2390.667715086194	2392.117831391116	2392.59764974796	2610.412870540294	2609.2551111364796	2622.1680839700093	2623.486322038222	2621.899897055726
A0A075B6J9	2217.7692620127823	2217.4089246726476	2218.375917172605	2218.044514934043	2217.878013320987	2197.1427913802822	2197.3376515433456	2196.1441251576625	2196.095429600911	2196.19693893578
A0A075B6K1	2203.8457873322704	2205.99897178819	2202.6657512190545	2203.062384411967	2202.8455192805204	2315.6539315634677	2315.11960045083	2322.2375082376852	2323.073064125412	2322.0869360238216
A0A075B6K4	2506.332710211717	2509.650647624345	2501.93239198681	2503.8155391750215	2504.9938125938143	2712.5069638345412	2711.334571695877	2722.9345525876224	2723.9710330685307	2722.711371490583
A0A075B6K5	2491.2786566053246	2494.3571658266446	2487.6282139165924	2489.2224350093234	2490.0275692499454	2673.6372445180937	2672.5605329706186	2683.1252909268483	2684.0805019180566	2682.8893183366663
A0A075B6K9;P0CG05;A0A075B6L0;P0CG06	2970.012594918417	2970.64389817379	2969.2140015531086	2969.2908189448017	2969.6449571683875	3023.0225403898553	3023.0120356816874	3025.6140888834702	3026.0274423737096	3025.6915098617633
A0A075B6L1;A0M8Q6	2159.9418667562427	2160.243002977904	2159.7684180160886	2159.9591525067804	2159.857516334021	2168.550810075899	2168.371355685445	2169.1668672733085	2169.176799829072	2169.085876626459
A0A075B6L6	2211.3835815175325	2209.1217297317658	2212.6845945972605	2211.898972468371	2212.2877362853837	2111.567307224926	2112.4045018509173	2105.434236397496	2104.836586453812	2105.747092370393
A0A075B6N1	2426.591918619891	2421.4291269303803	2430.1706809534003	2427.763302489372	2428.47646748126	2207.861619142267	2210.1030285432144	2194.527952895181	2193.4771825076346	2195.3836047991335
A0A075B6N2	2212.691158761179	2210.824794338884	2211.8165031856793	2212.462016182304	2213.7298014505836	2137.709360811178	2137.872932863856	2132.0833814879747	2131.1304843982116	2132.1954550218657
A0A075B6Q5	2173.8632175397256	2176.178558740938	2173.7256112314813	2173.487981030207	2172.654198431752	2285.0605767809543	2284.723318385791	2292.265088082466	2293.360016856758	2292.1481498386947
A0A087X0Q4;A0A087WW87;A0A075B6R1;P01614	2215.517398450865	2215.525677878156	2217.6393109178075	2216.245752091384	2215.201344138485	2206.9611657824557	2207.5211089469426	2207.563705899758	2208.0549217207126	2207.7147675483448
A0A075B6R6;A0A087WWX3;P03986	2197.0817865254585	2197.298779762857	2196.3907968455756	2196.6022644146333	2196.9796596823494	2221.863566693059	2221.819548310778	2222.8468253551596	2222.9646840113332	2222.8840623200435
A0A075B6S3;P06310;A0A075B6S6	2265.737074101726	2263.8202637972745	2271.4696543168325	2267.577154602549	2265.7443474510346	2171.8785126038315	2173.96108251379	2168.3786919899653	2169.0878215408743	2169.060488309414
A0A075B6S5	2199.7896976716243	2200.2688827101574	2200.0192092242733	2199.323895068969	2199.3019883177226	2247.67576120493	2248.0508935042553	2250.3483755432158	2251.0201003588068	2250.560649456864
Q9C0C7;A0A075B6T1;Q9C0C7-4;Q9C0C7-2;Q9C0C7-3;Q9C0C7-5;Q9C0C7-6	2370.5202482247237	2370.5185875245406	2369.498210161837	2370.4871101576123	2370.804355823192	2357.4390594035144	2356.917817554494	2356.414883965008	2355.9220693663697	2356.1965887260703
Q9NVX7;Q9NVX7-2;A0A075B6T4	2582.515482783095	2583.710474779399	2578.524867490136	2581.2437124271914	2582.57997808878	2641.7710612111814	2640.3477869018475	2643.7961604109814	2643.24326896059	2643.332824970884
A0A075B6T6	2372.533709711276	2369.259852198203	2370.590308414342	2370.829477268464	2373.9294903236478	2305.974213464113	2307.0706869183573	2298.7018700472863	2297.876460946931	2299.4004769795433
A0A075B6T7	2253.504357262528	2252.6864004365616	2253.104237000736	2252.8144199992926	2253.717679087809	2252.4943482484973	2253.022769167678	2251.384746139998	2251.4356617888716	2251.699612344456
A0A075B6V5	2239.0598018885626	2238.84816313552	2240.68787571592	2239.598513279054	2238.911687092682	2224.85711156951	2225.3553609552077	2224.7564748722893	2225.0685812749184	2224.905789535011
A0A075B6W5	2246.87177930928	2243.178150004237	2247.7616454878353	2247.4606143682577	2248.601490648441	2079.731940393642	2080.6369977964077	2068.980833601976	2067.582435905943	2069.325091383988
A0A075B6Y5	2328.610386466792	2326.2215817871042	2325.5153918662745	2327.1672419471865	2330.032911209598	2266.5984262065995	2266.657321366719	2259.9578097463123	2258.6654904194916	2260.1755000221406
A0A075B738	2213.9823224252536	2218.096666235399	2212.7920942510673	2213.1432059481394	2212.036771101587	2407.249113690882	2406.279042540149	2419.4382862396133	2421.0431700923446	2419.093108619271
P82921;A0A075B746	2613.8904973433464	2614.5226353556995	2606.3804938423295	2611.089378410101	2614.6036831955234	2682.830063278471	2680.8647152513886	2683.0684540447164	2681.756616355297	2682.562474746573
A0A087WVF8;A0A087WX83;A0A075B749;Q5VU43-3	2708.5606071742072	2708.835125947978	2707.7739810226963	2708.0757141886133	2708.4569117018996	2734.55287862379	2734.4479290641325	2735.6069639761267	2735.7019982362426	2735.618407712545
O00623;A0A075B773;K7ELY8	2202.4659524345707	2201.723023165207	2204.810351822574	2203.3500193606774	2202.504667158952	2158.561119101277	2159.2989736743325	2156.9378361388176	2157.1366267815133	2157.1519579799406
A0A075B7B8	2444.7042277882297	2439.779283803777	2447.482296696263	2445.164833836469	2446.4119155725493	2262.5909835424536	2264.907228120713	2250.7202190342628	2249.9264967935583	2251.6914689359783
A0A075B7D0	2183.1660568284415	2184.772803245892	2183.246686908351	2183.082642024162	2182.3499174715384	2253.250277860185	2252.9708166231176	2258.0263747749254	2258.7324239507607	2257.9045504424716
A0A075B7D8	2246.528657480925	2244.6953189204023	2248.3912461002365	2246.819622465859	2246.9734766207357	2184.241592330944	2185.4534684820005	2180.4331025072793	2180.4616270464076	2180.929384389915
A8CG34;A0A075B7F8;A0A087WY75;A8CG34-2	2789.580638623199	2790.164062234619	2789.201212309327	2789.5486880135904	2789.402441383081	2809.193405946351	2808.8741744249	2810.492933894828	2810.5431024958543	2810.3560303823133
A0A087WSV0;Q9HB09;Q9HB09-3;I6LJZ7	2487.9633028877374	2487.755738684036	2486.69614271994	2487.060896652316	2488.051938422574	2510.4045771565707	2510.488493386298	2510.5674482976956	2510.5770260818676	2510.7135019707284
V9HW75;A0A087WSV8;P80303;P80303-2;Q2L696;E9PKG6	2992.4947350317934	2986.6675417014862	3001.1410046710766	2996.7200396934513	2994.497378346291	2654.354405867424	2657.060039624487	2637.481748817087	2636.2858827299483	2638.173009858293
Q16881;Q16881-3;A0A087WSW9;A0A087WSY9;Q16881-4;F8W809;E9PNQ6;Q16881-5;Q16881-2;Q16881-6;E9PIR7	3182.2206876955656	3181.7991072295117	3181.7691413203092	3182.1413871498885	3182.5176245204034	3163.100516593216	3163.02308901836	3161.621349364898	3161.2994185429775	3161.601201593329
Q96IY4;A0A087WSY5;Q96IY4-2	2610.958712818874	2612.619942393642	2605.9911833964347	2608.9505746585905	2610.779164508813	2714.8198459831483	2713.341933060069	2718.8173466361627	2718.537668610915	2718.415669431299
A0A087WSY6	2289.5123288205373	2290.063197697854	2288.100844470403	2289.413357983734	2289.621540745019	2296.5055297107656	2295.6939250279656	2296.7626728798314	2296.3308670873316	2296.4241083468382
A0A087WT03	2253.0479466652837	2250.291635877742	2255.8570768497843	2253.824609364608	2253.856121872805	2141.063387386761	2142.622117624539	2134.5563874732657	2134.3292546489683	2135.1494134481895
P36969;A0A087X2I2;A0A087WT12;P36969-2;K7ERP4;K7EJ20;K7EKX7;K7ENB4;R4GNE4;A0A0A0MTT1	3103.074495347933	3102.5194949807365	3103.1705039077724	3103.1036962082867	3103.320550747473	3080.6408510364868	3080.803465961285	3079.1231098974717	3078.9418121495896	3079.1933267911136
Q9NV06;A0A087WT20	2919.494395986081	2919.160689938447	2912.3806897507448	2916.5454085512715	2920.485962368836	2963.534249034337	2962.1317241218603	2961.8404639847463	2960.4903089252202	2961.5999383573776
Q8N5I9;A0A087WT30	2440.3630722466114	2442.9314707959074	2436.7500896102815	2439.278390781791	2439.7483396669227	2549.9333398136287	2548.23252584915	2555.7699418636857	2555.768233221413	2555.1548814394937
A0A087WT39;V9GYI1	2710.37988766353	2699.9966606564963	2700.0758033920615	2706.2565931472955	2716.5472094046154	2369.464342853285	2369.7098862140488	2338.9688206392348	2333.2110878619646	2339.651833488393
Q9NQ66;A0A087WT80;A0A087WW73;Q9NQ66-2;A0A0D9SF51;A0A0D9SG17;H0YCJ2	2209.8597774036075	2208.7395847485545	2212.160343994474	2211.215702070522	2210.2866745691244	2124.5148804073624	2124.947695748221	2120.6892679687917	2120.3436334344246	2120.7194755974774
Q9H9V9;A0A087WT84;Q9H9V9-2	2391.4545812920574	2388.6408726390787	2389.1594909305136	2390.8512274829964	2393.196418822807	2278.2958630670355	2278.2228139225717	2269.3674657714573	2267.643722005017	2269.4311488362077
P08123;A0A087WTA8	2289.412193971117	2293.182879289295	2292.9712306679467	2290.9618207066046	2287.2475776238834	2407.7197387214005	2407.491252792338	2418.476176216134	2420.431941520461	2418.1624347479415
A0A087WTJ2;Q96F15;Q96F15-2	3128.78310562856	3119.258830436701	3126.6397179372298	3129.114235144102	3134.036839261628	2698.0908472154147	2698.9837433298	2668.373158968666	2663.474351480457	2668.78927180862
A0A087WTM7	2625.9629177417473	2619.343121427996	2632.2305467472925	2627.510776349031	2627.9103201593884	2367.348222212114	2371.085832709844	2351.946307884103	2351.414436587133	2353.406235975145
Q96A57;Q5JWB9;A0A087WTT2;Q96A57-2	2554.3088856861177	2555.2991204074624	2549.411448743427	2551.654306711427	2554.154823717871	2667.4976336577097	2666.7302755345067	2671.199893623057	2671.2293762668155	2671.1843625934976
Q8TCU4;A0A087WTU9;A0A087WZY3;Q8TCU4-2	2646.106466273081	2646.186857389741	2643.3770498446897	2643.9834752311845	2645.9735872456813	2725.3358427922217	2725.5306350621127	2727.5801520863492	2727.9420181564587	2727.91814683908
A0A087WTW0;Q96T88;A0A087WVR3;Q96T88-2;A0A087WWG9	2394.3574059511993	2399.5910754013767	2389.8083374343405	2392.403588257853	2392.3940700953676	2644.457109538803	2642.2966120680608	2658.7715562589933	2659.9891276205994	2658.044037397385
Q9UKL3;A0A087WTW5	2497.9089563695597	2495.990214359439	2495.9805740242846	2498.1261824252897	2499.4655528748085	2381.2485245781554	2380.5073090331202	2373.304812437419	2371.4361057627634	2372.9776972268705
Q92504;A0A087WTX2	2484.8739615222034	2489.8108214576155	2481.4467408460127	2482.6101712508116	2482.5946403168277	2756.2240623592515	2754.981557266027	2771.634514411602	2773.5622368041973	2771.338153223887
A0A087WTX5	2456.2849369357104	2459.3839120902894	2451.9897405253537	2454.3428884808877	2455.2594740583236	2623.8990407228316	2622.381584095092	2632.486324373968	2633.029332603419	2632.0484792933926
