Majority protein IDs	healthy_sample_0	healthy_sample_1	healthy_sample_2	healthy_sample_3	healthy_sample_4	unhealthy_sample_0	unhealthy_sample_1	unhealthy_sample_2	unhealthy_sample_3	unhealthy_sample_4
A0A024QZX5;A0A087X1N8	312.91709011090353	312.9516424460124	312.9061641988037	312.96112524823303	312.93715402177565	311.32215400155076	311.3466241158132	311.3051164539445	311.3124783664849	311.31000305521957
P06731;A0A087WYX0;A0A024R0K5;P06731-2;A0A087X013;M0QX98;T2HUW8	313.5021162754887	313.51846871415233	313.5109771979426	313.5346836181478	313.5282930264163	313.2950773759032	313.30349442974017	313.296042797069	313.27297703727066	313.3164505818159
O60462-5;A0A024R412;O60462-4;O60462;A0A024R3W6;Q7LBX6;X5D2Q8;O60462-2;O60462-3;O60462-6	312.66566204617277	312.7058006386435	312.642706466215	312.7207160750802	312.6569742148551	312.30855265059694	312.29960421850404	312.30153571992327	312.3299669485254	312.29330012227126
A0A024R4E5;Q00341;Q00341-2;H0Y394	345.69311483125097	345.68510274628636	345.69096747357133	345.6751345945306	345.6890170798568	345.29396067272114	345.3016116139836	345.2889085089352	345.29591609820045	345.28194829723475
A0A024R4K9;Q9BXJ8;A0A087WZA9;A0A087X266;Q9BXJ8-2	326.06937354879017	326.0507068488134	326.1609827290629	326.1422139572288	326.12075924677447	334.07684338005015	333.9647707556066	334.180026875817	334.01480340549404	334.2865558908854
O75503;A0A024R644;A0A087WZY0	334.3661103432394	334.23680701086016	334.4320272601346	334.1885076427761	334.37429493712784	336.1851986781651	336.1952784140441	336.212672534527	336.1365205675616	336.2284933987488
P60002;K7EN05;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4	333.89892412620685	333.5039635714475	334.01853587220455	333.2922984002139	333.8201350791004	336.89911226235023	336.93504967695645	336.9369252411138	336.8591204775573	336.87962228359646
A0A024RAC6;Q14241	338.2159818561392	338.21254897028456	338.25207532427794	338.2469927358941	338.24588419074337	340.67253426501185	340.64271623149517	340.70627088227343	340.6395258343793	340.75059846113675
P26718;A0A024RAP8	318.586583274947	318.4666708528161	318.52256885237	318.2936916360336	318.4828399295869	311.80125171413084	311.91388398939483	311.7095531081831	311.87485040760885	311.5641220713498
Q16670;A0A087X2F1;A0A024RCN4;Q16670-2;B4DMT1	326.18488594835077	326.1124066422473	326.23615749941	326.08579670618616	326.2247556075122	326.0148422071653	326.05386469261555	326.0215865168192	325.95137619454573	326.049549284835
A0A067XG54;Q8NB49-3;Q8NB49;Q8NB49-2;Q8NB49-4	332.5869163964374	332.6513561798593	332.5724520630674	332.7072153145667	332.5786411695819	334.8941622082176	334.83275382760644	334.91780789957403	334.921575426404	334.9327427064303
P11532;A0A087WV90;E9PDN5;A0A087WTU7;A0A075B6G3;P11532-4;P11532-3;P11532-2	328.58798624694475	328.6817723494982	328.62787502985486	328.8533215936534	328.58600712783027	340.3013534204859	340.0731601906538	340.43605186654287	340.32767744799503	340.5342420033462
A0A075B6I0	319.168112536591	319.14552473795834	319.2145177384914	319.2210087466205	319.12414132318634	329.17117033503536	328.99086806483393	329.2834750844323	329.206173387537	329.3282613209679
A0A075B6I2;P06318;P06319	315.1701136259403	315.1979511201358	315.16582381749026	315.20606683118285	315.1968718929481	313.56039128700075	313.58957213544744	313.5444495969735	313.5417206096739	313.55438496697053
A0A075B6I5;P01702;P06316	325.96383323634547	326.08304306477714	325.9719490091276	326.19487837743054	326.02273876344674	328.45550260361455	328.39971380216724	328.48961730552645	328.4298402895832	328.5633388713943
A0A075B6I8	318.14432481362064	318.0974606247401	318.2633833751424	318.22785931722944	318.1519634926963	332.91005417797334	332.6747731027856	333.0874350781475	332.8822845659508	333.2121862782406
A0A075B6I9;A0A0B4J1U2;P04211	316.9719721975857	317.0440235550089	316.93226106465437	317.0826175080915	316.94138608773426	317.99582103013887	317.9457984363724	318.0006044311907	318.04919993037737	317.9871762053264
A0A075B6J0	317.66440556303206	317.68793246724476	317.76978454352246	317.8567473518678	317.7041949022401	331.32866671420607	331.1033610616297	331.4953841599216	331.28943849745525	331.6405066657896
A0A075B6J3	313.38983811208516	313.4386019822924	313.3907869864941	313.4750407906876	313.4227394035991	313.20290708057644	313.2039275218884	313.2039563553575	313.1837201721969	313.23145284734255
A0A075B6J4	326.5078893967337	326.46722042438256	326.6243987804691	326.56383560373615	326.57393595494256	335.6464384396655	335.5269819146605	335.7660380134603	335.56203475948877	335.8928028655568
A0A075B6J5;P01705	312.9042860996994	312.9622434175966	312.8908989598784	312.99924203186964	312.9169001373005	313.00015660496825	312.98612640628477	313.00110488013513	313.00473209672174	313.0147513034156
A0A075B6J7	320.60755036371273	320.69042499765965	320.6930416447549	320.87718855660694	320.67634757484063	331.8833927880276	331.6921065992633	332.024159743667	331.8330761269602	332.17608879505514
A0A075B6J8	319.3689801117358	319.4344269771523	319.44540955130236	319.60852885380973	319.4035104601208	331.5339992679336	331.3199768475502	331.68066234651684	331.5135973957066	331.81110059282986
A0A075B6J9	313.0456903197031	313.12039566972436	313.03392899749537	313.17997094910794	313.0569105570281	314.4922499306808	314.4497269496261	314.50833528905434	314.5028834717254	314.53261479612206
A0A075B6K1	317.18742039968294	317.1107445041612	317.32348323758396	317.2290965747015	317.2029345774099	332.07514301796726	331.84947917728215	332.25626069033757	332.03004512343114	332.3871207455701
A0A075B6K4	319.9233752092876	319.84614747823485	319.9744837702172	319.89680717885454	319.83164704561153	332.061157046348	331.8428288025266	332.19337047610617	332.12824454945894	332.2141764067614
A0A075B6K5	324.6093282268935	324.58976531682373	324.6969788829131	324.68678033555307	324.64039785240897	333.90591586434766	333.76458497655153	334.0212549518859	333.86420944236755	334.12168236429557
A0A075B6K9;P0CG05;A0A075B6L0;P0CG06	340.16231199606085	340.1396825960452	340.1990367940626	340.1596229693198	340.1820411996861	342.5799041108821	342.5526343427419	342.61232322332637	342.5516062725836	342.6471765006409
A0A075B6L1;A0M8Q6	312.06258968128884	312.09328923764986	312.0299610378342	312.0863189978819	312.047201478612	310.3222359328503	310.3371834849253	310.2981904807976	310.34823955358746	310.2727696247656
A0A075B6L6	315.4708828544266	315.46716020937794	315.4839630954091	315.4932342996629	315.45566700987837	318.7136789530625	318.6538120396087	318.7498072537073	318.7271238343272	318.7637003528072
A0A075B6N1	321.76895839229445	321.7120950640014	321.7623873481446	321.59802888458285	321.83040337137453	311.5891341954156	311.8023272525102	311.4803186269528	311.5117863525768	311.4448438871423
A0A075B6N2	313.8184360750201	313.83566858318324	313.8342643111318	313.85147096222016	313.8643821527325	312.8338600006195	312.8626095174316	312.8286324634727	312.7917973751576	312.8588725609126
A0A075B6Q5	313.3362725146808	313.3659512786543	313.396878851621	313.4579917974487	313.39641560181906	318.5592707595742	318.48371024271336	318.629123396642	318.5039508279422	318.7222018309314
A0A087X0Q4;A0A087WW87;A0A075B6R1;P01614	312.92894723789016	313.0239537244614	312.9004990262363	313.07568362742785	312.94742223650985	312.3025531639465	312.2921058540536	312.29451038542993	312.31263304348556	312.30868275831904
A0A075B6R6;A0A087WWX3;P03986	312.3606562267361	312.42586168441824	312.2933434340939	312.4256539226491	312.3098183773849	310.70764602190553	310.69780370390924	310.6779428157926	310.78095763321244	310.6258137669612
A0A075B6S3;P06310;A0A075B6S6	314.85148093999356	314.9244687312649	314.89374070482114	315.0689538243316	314.86072959881733	324.6490504205636	324.4638283668805	324.76358757856843	324.6580820677099	324.85438071681205
A0A075B6S5	313.92569687988095	313.9203026398022	313.94291867073554	313.94960942870586	313.9127395029329	317.48882806797144	317.4248252781793	317.52914901728553	317.4992980067079	317.54742846757654
Q9C0C7;A0A075B6T1;Q9C0C7-4;Q9C0C7-2;Q9C0C7-3;Q9C0C7-5;Q9C0C7-6	317.48416108857765	317.45560684796334	317.5015694120824	317.50711333580455	317.3945041131896	327.08448004639564	326.89587531762453	327.18524564559755	327.1652361660257	327.18917290836015
Q9NVX7;Q9NVX7-2;A0A075B6T4	328.2519388732982	328.15162363969563	328.31110174234965	328.09968582136736	328.30141675423215	326.758501216587	326.83186052310447	326.75209415286554	326.6770524893576	326.7758641301038
A0A075B6T6	318.43372290892415	318.38994619730624	318.4092618610114	318.2780495676755	318.4704411269601	308.64364065242114	308.83716676262134	308.53516571550557	308.5958130784787	308.48326120620186
A0A075B6T7	314.6118379353594	314.6141511154589	314.6091251058957	314.5942265335895	314.6408158296358	311.554590260878	311.6168067640425	311.5228141145742	311.5263593837849	311.5216118069925
A0A075B6V5	314.59726015960763	314.5819905305093	314.58107924648226	314.53814691861754	314.5984695545268	311.12381913319666	311.188023850777	311.08351342860806	311.11919820369394	311.0554594314904
A0A075B6W5	314.2011935229257	314.2577214162491	314.16575051296985	314.27636697149654	314.1848711178752	313.6135661953629	313.6008944018618	313.6020570887227	313.64799880330037	313.5864294968635
A0A075B6Y5	315.4408700133343	315.44435455703365	315.4255097846482	315.41556512094724	315.45422892951586	312.01352350120663	312.075920943791	311.97493848593797	312.0020025415601	311.95801137226096
A0A075B738	315.7365569026612	315.9926964944893	315.64835483261857	316.12553052355577	315.7679538392254	314.05222875714827	314.01716343511504	314.0277776472525	314.09851573470496	314.05098803769556
P82921;A0A075B746	331.0403659091379	330.9250985788722	331.1074303670407	330.87694177881264	331.0766331323808	331.1562621008605	331.2016728679947	331.1673965719317	331.0833572136005	331.192860563563
A0A087WVF8;A0A087WX83;A0A075B749;Q5VU43-3	332.6677117379764	332.57051808421096	332.68117410737057	332.50988315641365	332.62171774619856	333.5122142376419	333.5093863552195	333.5186994706075	333.52995131242113	333.4837401110824
O00623;A0A075B773;K7ELY8	315.82326525410224	315.8791785391938	315.8188317569733	315.9243966784981	315.841652683779	316.61711004970454	316.59391345939224	316.62726583294403	316.6148068129225	316.65123639171316
A0A075B7B8	318.7985655149216	318.8424631918042	318.79723619888097	318.8585771754828	318.84916884814396	316.28592999002956	316.3346219861103	316.26238351440406	316.247750452217	316.2851267941148
A0A075B7D0	313.00715005423217	313.0860587889183	312.989425047199	313.13762982731805	313.0236854300864	313.2755588649969	313.253867771072	313.2783815887366	313.2823997242112	313.29756571229706
A0A075B7D8	315.4880092565566	315.48451735083194	315.4624095365026	315.4339920042496	315.4974662189497	310.46510934800733	310.5553367203808	310.40732545785556	310.45610447516657	310.3738732766514
A8CG34;A0A075B7F8;A0A087WY75;A8CG34-2	336.5288036468478	336.52065036029734	336.52992408949643	336.50862381009927	336.53593335060276	335.54561527977137	335.56743263199036	335.5353859151605	335.53609112450164	335.5328179920628
A0A087WSV0;Q9HB09;Q9HB09-3;I6LJZ7	322.86224399748124	322.78003515367345	322.84456554465015	322.67334518651046	322.8381470189629	317.713153630227	317.8162823572219	317.65161404525924	317.71497979546734	317.58625063951075
V9HW75;A0A087WSV8;P80303;P80303-2;Q2L696;E9PKG6	343.1002633899569	343.2130996467698	342.9808946329873	343.15545865381534	343.0959091601361	331.7875436744075	331.9457014272762	331.64906353765684	331.83076623615307	331.55811133332384
Q16881;Q16881-3;A0A087WSW9;A0A087WSY9;Q16881-4;F8W809;E9PNQ6;Q16881-5;Q16881-2;Q16881-6;E9PIR7	348.6028943077784	348.55356508631496	348.6100364392706	348.51983798108097	348.5850135077942	348.5554956478403	348.5642059833624	348.5539983897332	348.55900514088034	348.53682865246276
Q96IY4;A0A087WSY5;Q96IY4-2	330.9932785346136	331.0162063220339	330.9403809867386	330.98038051865296	330.9586219470535	327.54971554849806	327.5888693083702	327.50287437733425	327.5939840295821	327.44746617059803
A0A087WSY6	318.98760255747266	318.8644396854994	318.9696424327243	318.73709002682784	318.9213945334873	315.46142854995	315.53332474355585	315.4141140936025	315.493850725221	315.325806223868
A0A087WT03	317.076838144574	317.0034007032876	317.11256045659667	316.97091021934136	317.085199851854	317.49196693478393	317.50961161528056	317.50083574593657	317.4606968608242	317.5078062484548
